n	R
5	2.2446354424
6	2.3880178498
7	2.4226946398
8	2.5243888276
9	2.630121994
10	2.7159045724
11	2.7676456606
12	2.8291548915
13	2.9241191274
14	2.985193229
15	3.0406530258
16	3.0965640784
17	3.1523262496
18	3.2162258106
19	3.2595714658
20	3.3124465259
21	3.3618658649
22	3.4131114892
23	3.450408833
24	3.5001261152
25	3.5416443816
26	3.5890049811
27	3.6256361525
28	3.6692433732
29	3.7053185081
30	3.7488656902
31	3.7845037232
32	3.8187950365
33	3.855102555
34	3.8918634522
35	3.9271067576
36	3.9618078273
37	3.9936765094
38	4.0286491134
39	4.0575763675
40	4.0878650968
41	4.1205981251
42	4.1509379578
43	4.1818416474
44	4.211573826
45	4.23989053
46	4.2695915442
47	4.2974999445
48	4.3267057857
49	4.3510648338
50	4.3774016414
51	4.4021492017
52	4.4309599638
53	4.4534200677
54	4.4802321468
55	4.5068454534
56	4.531775607
57	4.5581831112
58	4.580986836
59	4.6057295835
60	4.6210703293
61	4.6507949132
62	4.6666811561
63	4.6964361352
64	4.7200083819
65	4.7426961571
66	4.762718025
67	4.7835705983
68	4.8077265877
69	4.8266968743
70	4.8492594515
71	4.8732023261
72	4.8916934235
73	4.9154737507
74	4.933304023
75	4.9543557498
76	4.9712250211
77	4.9897249257
78	5.0111053087
79	5.0315028974
80	5.0495777627
81	5.0688273963
82	5.0882938861
83	5.1054037253
84	5.126657789
85	5.1442356635
86	5.1639976686
87	5.1801335928
88	5.2004243414
89	5.2157226621
90	5.2338663806
91	5.253835544
92	5.2653589219
93	5.2860731333
94	5.3018850215
95	5.3217549026
96	5.3393632757
97	5.3530172469
98	5.3710368326
99	5.3893731654
100	5.4041537824
