n	R
2	1.8027851317
3	2.0000304974
4	2.2396446833
5	2.4714107355
6	2.6458574331
7	2.6458698093
8	2.9848305954
9	3.3017228864
10	3.5000521821
11	3.5902310245
12	3.6057293812
13	3.823171271
14	3.8779111614
15	4.0818741602
16	4.1399177664
17	4.3590049359
18	4.359189899
19	4.359371206
20	4.6258412772
21	4.6834082321
22	4.8924128631
23	4.9908329835
24	5.1022846711
25	5.203569047
26	5.276049005
27	5.2824197382
28	5.4046660119
29	5.514381983
30	5.5649104516
31	5.5687659749
32	5.7326430679
33	5.81151963
34	5.8894828876
35	6.083152892
36	6.0831179056
37	6.0834564916
38	6.2627471795
39	6.3117013152
40	6.3940637546
41	6.4701522033
42	6.5579434768
43	6.6181292891
44	6.6728824527
45	6.7392069272
46	6.8542462261
47	6.9215097699
48	6.9777163445
49	7.0543830948
50	7.083458292
51	7.1260532583
52	7.1663034337
53	7.2118105223
54	7.2121829614
55	7.2125061191
56	7.406351352
57	7.49418602
58	7.5833803576
59	7.6801633809
60	7.7699014946
61	7.81107961
62	7.895430702
63	7.968461636
64	7.9810138509
65	8.044361044
66	8.062536499
67	8.1095675613
68	8.1857262184
69	8.1864493265
70	8.2798409371
71	8.3360605527
72	8.3850323081
73	8.4242333923
74	8.4447476309
75	8.589826369
76	8.6286815031
77	8.695233422
78	8.7473877509
79	8.7722614073
80	8.819288466
81	8.8226534088
82	8.8557910371
83	8.8893639893
84	8.8900010223
85	8.890897619
86	9.1022641774
87	9.1974313263
88	9.2352859074
89	9.2935963256
90	9.38599409
91	9.4101577539
92	9.4569209591
93	9.4893686714
94	9.5546575805
95	9.5913787072
96	9.652126171
97	9.732507037
98	9.84936718
99	9.7409228547
100	9.7936812799
