n	R
2	2.7167868988
3	4.5146316136
4	6.3152410926
5	8.1701971913
6	10.135328174
7	12.308389842
8	14.878829739
9	17.427500511
10	20.113109771
11	22.676409159
12	25.752919804
13	28.541644837
14	31.859801427
15	35.033077214
16	38.39496075
17	41.901608707
18	45.484926431
19	49.110818754
20	52.73570161
21	56.458990408
22	60.210081532
23	64.065856522
24	68.205092933
25	72.220361637
26	76.385740813
27	80.44660282
28	85.140400751
29	89.550992886
30	94.068490619
31	98.446032227
32	103.21934433
33	107.72413944
34	112.49387045
35	117.06032078
36	122.05926391
37	127.1109803
38	131.89621762
39	137.47884552
40	142.51440871
41	147.48138523
42	153.04915328
43	158.22737893
44	163.62589259
45	169.14681513
46	174.52000868
47	179.9558599
48	185.56267179
49	191.40847468
50	197.08197807
51	202.95438963
52	208.91457216
53	214.55241158
54	220.78347683
55	226.47306836
56	232.64553666
57	238.75650398
58	245.00779355
59	251.01157258
60	257.46872876
61	263.67102919
62	269.98797391
63	276.36854442
64	282.61687423
65	289.59029827
66	295.8847234
67	302.53142308
68	309.3468974
69	316.00810051
70	322.17763883
71	329.29474011
72	336.10861996
73	343.14104734
74	350.15899913
75	356.88155387
76	364.12448648
77	370.47241998
78	378.12555601
79	385.75175099
80	392.6553128
81	400.18284592
82	407.26690986
83	414.8005394
84	421.79083914
85	428.67123217
86	436.76122497
87	444.60557152
88	452.1149199
89	459.5908428
90	466.96181189
91	475.20461764
92	482.30313035
93	490.60246639
94	497.45605928
95	505.9969693
96	513.78794409
97	521.73027017
98	529.7199312
99	537.49635288
100	545.40841206
