n	R
2	1.8870178956
3	2.0788694187
4	2.2631531526
5	2.5868677368
6	2.8304152356
7	2.8881844334
8	3.1570904356
9	3.4144652974
10	3.6144635627
11	3.7404887971
12	3.8291892174
13	4.0067106879
14	4.0885184854
15	4.2916847705
16	4.3882077708
17	4.5502140651
18	4.6396015173
19	4.6488238434
20	4.8751021578
21	4.9610144826
22	5.1318718621
23	5.2517791975
24	5.3339868958
25	5.4556236911
26	5.5306456174
27	5.6054657263
28	5.6844439438
29	5.8398285861
30	5.8721135991
31	6.0398885117
32	6.1011214983
33	6.2042493729
34	6.2820935473
35	6.3510699254
36	6.4169366926
37	6.4533556977
38	6.597892899
39	6.6742005251
40	6.7616768053
41	6.8604644535
42	6.9438245342
43	7.034397219
44	7.1162514261
45	7.1802157853
46	7.2495218978
47	7.3221356035
48	7.3802132734
49	7.4614311254
50	7.5010098913
51	7.5993167673
52	7.6625430904
53	7.7447597625
54	7.7840107105
55	7.8231302793
56	7.9410871611
57	8.0111305781
58	8.0861158409
59	8.1628740632
60	8.2070490688
61	8.26170489
62	8.3647081696
63	8.4113477456
64	8.4977892805
65	8.5525786959
66	8.60468205
67	8.6878214675
68	8.7233508502
69	8.7607970659
70	8.8577045452
71	8.9111158488
72	8.9824584534
73	9.0575842202
74	9.1158992889
75	9.1559338041
76	9.2236713415
77	9.284586954
78	9.3423002848
79	9.3927514089
80	9.4546082614
81	9.5142343327
82	9.5280869372
83	9.565149676
84	9.6077825384
85	9.6473796797
86	9.759292185
87	9.8263353052
88	9.8900957985
89	9.9522028989
90	9.990859978
91	10.076709876
92	10.117046796
93	10.186157458
94	10.242312539
95	10.241194708
96	10.365924271
97	10.366563162
98	10.405552455
99	10.446324831
100	10.501419625
