n	R
2	2.8373383604
3	4.7216029273
4	6.6074145699
5	8.5339386764
6	10.569532893
7	12.762070137
10	20.864216468
11	23.644642729
12	26.787904505
13	30.00318803
14	33.309499713
15	36.801222185
16	40.331150446
17	43.933516236
18	47.607275908
19	51.490096162
20	55.36953953
21	59.409508192
22	63.472763167
23	67.624866668
24	71.872861598
25	76.350421113
26	80.714549822
27	85.216675665
28	89.704711589
29	94.48080581
30	99.35419434
31	103.98857735
32	108.76644261
33	114.05407305
34	119.01078534
35	124.2605917
36	129.38167332
37	134.52637323
38	139.93403639
39	145.28586232
40	150.87422173
41	156.19807822
42	162.17395639
43	167.52515771
44	173.49025209
45	179.02455526
46	185.12964365
47	190.81949844
48	196.64203755
49	202.70500761
50	208.83375933
51	215.28898893
52	221.08908448
53	227.52929354
54	233.91733571
55	240.28218491
56	246.44277688
57	253.05713892
58	259.59738805
59	266.47649284
60	272.99578418
61	279.85377286
62	286.45804502
63	293.38034481
64	300.11737847
65	306.88439283
66	314.29550732
67	321.56160378
68	328.3333764
69	335.29347489
70	342.22787245
71	350.16245445
72	357.18027747
73	364.25162982
74	372.20941477
75	379.18289627
76	387.16259261
77	394.41157365
78	402.16549937
100	581.08704993
