n	R
2	1.8090255338
3	1.9021318988
4	2.1510212902
5	2.3896662996
6	2.6180890597
7	2.697704263
8	2.9170125618
9	3.1771891352
10	3.2890558514
11	3.411381666
12	3.5659721196
13	3.6182604813
14	3.8017692355
15	3.9266077975
16	4.0403511908
17	4.1253855331
18	4.2515609959
19	4.3169431762
20	4.4682492938
21	4.5933974686
22	4.7002064396
23	4.7875127608
24	4.848523423
25	4.9813741961
26	5.0492605162
27	5.1212460735
28	5.2463186918
29	5.3184562957
30	5.3995420869
31	5.5056727816
32	5.5777229757
33	5.6503938709
34	5.724141772
35	5.7904864491
36	5.8712778953
37	5.9552359353
38	6.0496404853
39	6.1261784063
40	6.1870794419
41	6.2636215129
42	6.3378040098
43	6.4076647803
44	6.4718910662
45	6.5410038514
46	6.6083159102
47	6.683073531
48	6.7438443423
49	6.8120512611
50	6.8735189857
51	6.939105306
52	7.0047206334
53	7.0550969253
54	7.1028764776
55	7.1489004679
56	7.2218904806
57	7.2931253071
58	7.3642812331
59	7.4413493185
60	7.5134323714
61	7.558404538
62	7.6235070257
63	7.6726513021
64	7.7218123822
65	7.7730089958
66	7.8414560615
67	7.8933358347
68	7.9438975658
69	7.9963598528
70	8.0551964165
71	8.1172805649
72	8.1677186401
73	8.2150643527
74	8.2626904631
75	8.3204514889
76	8.3901468177
77	8.4454283302
78	8.4864713863
79	8.5181789296
80	8.5630081613
81	8.6130651657
82	8.6633277131
83	8.7115509846
84	8.7620576578
85	8.8160282766
86	8.8830582886
87	8.9414984214
88	8.9949994292
89	9.0457408136
90	9.096489171
91	9.1273060062
92	9.1752337334
93	9.2175238757
94	9.2602154505
95	9.3098479759
96	9.3675711962
97	9.4090984283
98	9.4456125029
99	9.4963266141
100	9.5374928541
