n	R
2	2.7135487851
3	4.5226529681
4	6.3316095821
5	8.1484328411
6	9.9904660221
7	11.957248639
8	14.186685426
9	16.76385525
10	19.375279755
11	21.96829535
12	24.948831579
13	27.77181275
14	30.834697275
15	34.056027478
16	37.190451639
17	40.508869649
18	43.977355101
19	47.343542628
20	50.867970637
21	54.432923254
22	58.189897816
23	62.016508657
24	65.840990992
25	69.825627097
26	73.781987276
27	77.878501987
28	82.03957039
29	86.355340403
30	90.628118185
31	95.121225537
32	99.8845428
33	104.13196283
34	108.84575962
35	113.62988597
36	118.29654629
37	123.06327045
38	128.0013437
39	132.83646836
40	137.81060916
41	142.95789953
42	148.04578044
43	153.28559424
44	158.59828271
45	163.99238883
46	169.29443115
47	174.67131172
48	180.15698726
49	185.71447599
50	191.31166606
51	196.82482904
52	202.50238805
53	208.24017231
54	213.87999536
55	219.61014366
56	225.46427539
57	231.52921016
58	237.36633715
59	243.3691163
60	249.63593274
61	255.43039675
62	261.6347453
63	267.76489414
64	274.13658604
65	280.11190488
66	286.71492886
67	293.29090052
68	299.71417954
69	306.323238
70	312.84837474
71	319.44821828
72	326.19667117
73	332.92215429
74	339.58544974
75	346.19844764
76	352.93383289
77	359.94051626
78	366.71627118
79	373.88574218
80	381.03406153
81	387.94309078
82	394.6709875
83	402.38534984
84	409.37641603
85	416.52460976
86	423.77993684
87	431.30016176
88	438.71252308
89	446.1456933
90	453.26982791
91	461.06830363
92	468.23110127
93	475.70332691
94	483.38754906
95	491.1255819
96	498.40641438
97	506.35542763
98	514.06895791
99	521.41533891
100	529.25991236
