n	R
2	1.5000058382
3	1.6515609315
4	1.6984841147
5	1.7321090087
6	1.7321391129
7	1.996115764
8	2.1883338327
9	2.2773792419
10	2.398496567
11	2.5411558744
12	2.6107049359
13	2.6459906692
14	2.7793415724
15	2.835224235
16	2.9230717484
17	2.9973262265
18	3.1211652341
19	3.1627042439
20	3.2470099783
21	3.3095148714
22	3.3675338276
23	3.4382524153
24	3.4646526147
25	3.5604084658
26	3.649560485
27	3.7046264793
28	3.790597178
29	3.8275292312
30	3.900109289
31	3.936489269
32	4.0070514272
33	4.0568298323
34	4.11467745
35	4.1562178866
36	4.2269795498
37	4.2686575157
38	4.3148236303
39	4.3649638741
40	4.4297237122
41	4.4794664801
42	4.5254783351
43	4.5737636124
44	4.6195621049
45	4.6746128753
46	4.720458873
47	4.7624705196
48	4.8112912087
49	4.8584449228
50	4.9102880515
51	4.9481045216
52	4.999386705
53	5.0411040867
54	5.083624341
55	5.1257720777
56	5.1730449431
57	5.2175880748
58	5.263079768
59	5.2968541903
60	5.3294740019
61	5.3705238296
62	5.4136569126
63	5.463902268
64	5.506628294
65	5.5351371429
66	5.5777970338
67	5.6171427295
68	5.6518347706
69	5.6939902992
70	5.7408706184
71	5.7759325754
72	5.8132623488
73	5.8397881222
74	5.8819499539
75	5.9224224976
76	5.9607423671
77	5.9953565288
78	6.0348844076
79	6.0766569499
80	6.110672121
81	6.14479453
82	6.1752654384
83	6.2156555612
84	6.251957981
85	6.2761208519
86	6.3127616173
87	6.3366786786
88	6.3746910339
89	6.4043315629
90	6.4289245392
91	6.4779397071
92	6.512210504
93	6.5500728093
94	6.5887988963
95	6.6167619585
96	6.6522556754
97	6.6867018177
98	6.7185775219
99	6.7610359034
100	6.7982559643
