n	R
2	2.2501356675
3	3.7501750392
4	5.2585480268
5	6.8049279952
6	8.3767136679
7	10.04552688
8	11.57808899
9	13.213884272
10	14.936885923
11	16.735958084
12	18.618710991
13	20.668874808
14	22.904453986
15	25.238514039
16	27.714752116
17	30.268522022
18	32.809339877
19	35.520206385
20	38.114529424
21	40.866678124
22	43.60939813
23	46.420142217
24	49.223259889
25	52.129389652
26	54.928337177
27	57.888863416
28	60.97495173
29	64.048747901
30	67.041371181
31	70.16016321
32	73.212664689
33	76.449892375
34	79.77753946
35	83.058266046
36	86.393400636
37	89.907901963
38	93.508238117
39	97.224969289
40	100.7791924
41	104.24301405
42	107.84610801
43	111.51856006
44	115.32452257
45	119.16857428
46	123.01965182
47	127.00093689
48	130.81711151
49	134.66839698
50	138.52230754
51	142.49432801
52	146.68258135
53	150.86847862
54	155.04318058
55	159.39297
56	163.69481332
57	168.02952787
58	172.12099638
59	176.49683765
60	180.85101484
61	185.32256715
62	189.92686458
63	194.43208992
64	199.02932548
65	203.46874341
66	208.13334183
67	212.62514731
68	217.36143744
69	222.09991627
70	226.85403743
71	231.75387
72	236.40845745
73	241.1810122
74	246.21616634
75	251.00606372
76	255.85759513
77	260.74346109
78	265.96555288
79	271.02751886
80	276.07641752
81	281.14783839
82	286.26418167
83	291.30078912
84	296.44015531
85	301.63513016
86	306.9752192
87	312.2475069
88	317.50381027
89	322.88231817
90	328.25750538
91	333.57984052
92	338.91922502
93	344.46677821
94	349.78138949
95	355.38983989
96	360.95324242
97	366.53081761
98	371.97331248
99	377.47011832
100	383.36798734
