n	H
1	1
2	2
3	2.0000696154
4	2.0001095584
5	2.0001413727
6	2.0002566882
7	2.0002522914
8	2.0003144233
9	2.7072726692
10	2.7074272537
11	3.000024176
12	3.0001053922
13	3.0001870485
14	3.0003088862
15	3.0003962788
16	3.0004874696
17	3.0005420045
18	3.0005847636
19	3.0007281741
20	3.0007341568
21	3.0008163004
22	3.0009486159
23	3.0010749076
24	3.0011913091
25	3.0011347789
26	3.0012556968
27	3.0013487341
28	3.7074334879
29	4.0000322274
30	3.8882124349
31	4.0003072378
32	4.0003554548
33	4.0005492844
34	4.0006375821
35	4.0007081996
36	4.0007553196
37	4.0009774079
38	4.0010236696
39	4.0011841866
40	4.0012225176
41	4.0012308664
42	4.0013897343
43	4.0015317738
44	4.0016201493
45	4.0018283631
46	4.0018290262
47	4.0018744506
48	4.0019054097
49	4.0020800262
50	4.0020491508
51	4.0022474664
52	4.0022936553
53	4.0025149
54	4.0024732216
55	4.0025786917
56	4.0028956989
57	4.0027452175
58	4.0029885075
59	4.0030228668
60	4.0030558182
61	4.0032680241
62	4.0032803262
63	4.0033017944
64	4.0035662481
65	4.7076197909
66	5.0001903077
67	5.0003344611
68	5.0004999676
69	5.0006528724
70	5.0007951848
71	5.0009223349
72	5.0010214141
73	5.0011513167
74	5.0012917217
75	5.0014512667
76	5.0014442549
77	5.0017491293
78	5.0018960595
79	5.0018311534
80	5.0021366871
81	5.0021408971
82	5.0024179118
83	5.0025279112
84	5.0026325788
85	5.0025988782
86	5.0028217669
87	5.003089182
88	5.0031299799
89	5.0034851616
90	5.0035313519
91	5.0037495995
92	5.0037413556
93	5.0037485284
94	5.0041082964
95	5.0041839123
96	5.0043280038
97	5.0044429054
98	5.0043937502
99	5.0044422164
100	5.0046762195
