n	H
1	1
2	1.999984337
3	2.0000019559
4	2.0000266081
5	2.0000555894
6	2.0001040177
7	2.0001497437
8	2.0001755145
9	2.9999661493
10	2.9999981647
11	3.000020359
12	3.0000546925
13	3.0000667868
14	3.0001050813
15	3.0001444659
16	3.0001854167
17	3.0002344806
18	3.0001872981
19	3.0002262526
20	3.0003536769
21	3.0004044702
22	3.000440913
23	3.0004873912
24	3.0005075683
25	3.0005379792
26	3.00063499
27	3.0007016361
28	3.9999491896
29	4.0000037362
30	4.0000558302
31	4.0000620143
32	4.0000859061
33	4.0001187287
34	4.0001549458
35	4.0001890888
36	4.0002440906
37	4.0002868995
38	4.0003499731
39	4.0003150075
40	4.0003743534
41	4.0004699607
42	4.000504101
43	4.0005391423
44	4.0006103324
45	4.0006141804
46	4.000721016
47	4.0007498485
48	4.0007799287
49	4.0007687346
50	4.0009215974
51	4.0009094686
52	4.0009368875
53	4.0009323198
54	4.0011014173
55	4.0011967439
56	4.0012315615
57	4.0013308779
58	4.0013385964
59	4.001395791
60	4.0014876008
61	4.0015265341
62	4.0016163745
63	4.0015847649
64	4.001586465
65	4.9999423871
66	5.000006489
67	5.0000394215
68	5.0000843798
69	5.0001184006
70	5.0001390302
71	5.0002391795
72	5.000226536
73	5.0003080109
74	5.0003156368
75	5.000363722
76	5.0004308318
77	5.0005390438
78	5.0004814032
79	5.0005533362
80	5.0005724696
81	5.0006667768
82	5.0006806414
83	5.0007483069
84	5.000844368
85	5.0009368738
86	5.0009427665
87	5.0010976745
88	5.0012457755
89	5.0013544674
90	5.0011745379
91	5.00113133
92	5.001273079
93	5.0012290134
94	5.0013643766
95	5.0014089269
96	5.0014145969
97	5.0015495858
98	5.0015805814
99	5.0015255078
100	5.0016965734
