n	H
1	1
2	2.9994471049
3	4.9998345698
4	6.9996775357
5	8.9995444726
6	10.999283497
7	12.999284708
8	14.999450239
9	16.999831492
10	18.999840382
11	20.999833581
12	22.999768911
13	24.999869321
14	26.999935734
15	28.999850676
16	30.999826604
17	32.999895069
18	34.999707288
19	36.999577156
20	39.000016234
21	41.99969057
22	44.999575043
23	47.999675281
24	50.999670851
25	53.999571196
26	56.999433489
27	59.999703869
28	63.000386822
29	65.999545542
30	68.999844787
31	71.999755598
32	74.999685282
33	77.999766029
34	80.99957092
35	83.999453071
36	86.999605882
37	89.999405054
38	92.999387056
39	95.999568552
40	98.999763524
41	101.99934685
42	104.99944693
43	107.99957871
44	110.99958028
45	113.99964792
46	116.99970266
47	119.99932876
48	122.99947899
49	125.99958784
50	128.99981704
51	131.9995636
52	134.99965101
53	137.99953719
54	140.99961704
55	143.99967699
56	146.99964386
57	149.99979417
58	152.99974777
59	155.99987161
60	158.99973754
61	161.99965888
62	164.99962369
63	167.99953036
64	170.99965929
65	173.99976919
66	176.99978309
67	179.9998587
68	182.99995164
69	186.0004277
70	189.00073638
71	192.00213241
72	196.00061331
73	200.00016879
74	203.00202241
75	207.00022964
76	210.0036774
77	214.001711
78	218.00188879
79	222.0001617
80	225.00789152
81	230.00019773
82	234.0000501
83	238.00032595
84	242.00047498
85	246.00037172
86	250.00101867
87	254.00020839
88	258.00022609
89	262.00079791
90	266.00085923
91	270.00009779
92	274.0013928
93	278.00106403
94	282.00038065
95	286.00104966
96	290.00182315
97	294.00318323
98	298.00169978
99	302.00145942
100	306.00210417
