n	H
1	1
2	1.5774418227
3	1.7072034791
4	1.7072410699
5	1.8945238862
6	1.9429308581
7	1.9990336447
8	2.0001791055
9	2.1548823589
10	2.3335434873
11	2.4093209099
12	2.4143311325
13	2.4145027431
14	2.4145017501
15	2.6003981401
16	2.6487071412
17	2.6503013484
18	2.6645040873
19	2.729753371
20	2.8028771002
21	2.8218822439
22	2.8861867194
23	2.9106706875
24	2.9321529955
25	2.9800967281
26	2.9962929381
27	3.0006334257
28	3.1331967228
29	3.1218334875
30	3.1218342673
31	3.122036761
32	3.1221203157
33	3.2347180771
34	3.2876010529
35	3.2977129571
36	3.3492454696
37	3.3553293203
38	3.3577796191
39	3.3878850816
40	3.4147233294
41	3.4529334429
42	3.4975122082
43	3.531727311
44	3.5506878537
45	3.5644747752
46	3.5662019814
47	3.5733950878
48	3.5736658065
49	3.670614544
50	3.6786599765
51	3.7046683855
52	3.7378062536
53	3.7540180444
54	3.7993385225
55	3.8199445343
56	3.8406550485
57	3.8291150795
58	3.8293314428
59	3.8296889014
60	3.8297848052
61	3.829930363
62	3.8300259118
63	3.8300832152
64	3.9463128488
65	3.9641500247
66	3.9779467788
67	4.0183891413
68	4.0520196597
69	4.0646444366
70	4.0650846556
71	4.0653291416
72	4.0658696135
73	4.1070328949
74	4.1228184039
75	4.1228402775
76	4.1619516298
77	4.2022764787
78	4.2287314716
79	4.2387875607
80	4.2599090478
81	4.2834820039
82	4.2986850183
83	4.3017159484
84	4.3018545678
85	4.3019821798
86	4.3021177824
87	4.3019159292
88	4.3305441674
89	4.3963321827
90	4.4171429368
91	4.4336909284
92	4.447466661
93	4.4544029058
94	4.4670992504
95	4.4776240885
96	4.4810003323
97	4.4840515821
98	4.4857550199
99	4.4904539377
100	4.4916586443
