n	L
1	2
2	3.1548836454
3	3.4144069582
4	3.4144821398
5	3.7890477724
6	3.8858617162
7	3.9980672894
8	4.000358211
9	4.3097647178
10	4.6670869746
11	4.8186418198
12	4.828662265
13	4.8290054862
14	4.8290035002
15	5.2007962802
16	5.2974142824
17	5.3006026968
18	5.3290081746
19	5.459506742
20	5.6057542004
21	5.6437644878
22	5.7723734388
23	5.821341375
24	5.864305991
25	5.9601934562
26	5.9925858762
27	6.0012668514
28	6.2663934456
29	6.243666975
30	6.2436685346
31	6.244073522
32	6.2442406314
33	6.4694361542
34	6.5752021058
35	6.5954259142
36	6.6984909392
37	6.7106586406
38	6.7155592382
39	6.7757701632
40	6.8294466588
41	6.9058668858
42	6.9950244164
43	7.063454622
44	7.1013757074
45	7.1289495504
46	7.1324039628
47	7.1467901756
48	7.147331613
49	7.341229088
50	7.357319953
51	7.409336771
52	7.4756125072
53	7.5080360888
54	7.598677045
55	7.6398890686
56	7.681310097
57	7.658230159
58	7.6586628856
59	7.6593778028
60	7.6595696104
61	7.659860726
62	7.6600518236
63	7.6601664304
64	7.8926256976
65	7.9283000494
66	7.9558935576
67	8.0367782826
68	8.1040393194
69	8.1292888732
70	8.1301693112
71	8.1306582832
72	8.131739227
73	8.2140657898
74	8.2456368078
75	8.245680555
76	8.3239032596
77	8.4045529574
78	8.4574629432
79	8.4775751214
80	8.5198180956
81	8.5669640078
82	8.5973700366
83	8.6034318968
84	8.6037091356
85	8.6039643596
86	8.6042355648
87	8.6038318584
88	8.6610883348
89	8.7926643654
90	8.8342858736
91	8.8673818568
92	8.894933322
93	8.9088058116
94	8.9341985008
95	8.955248177
96	8.9620006646
97	8.9681031642
98	8.9715100398
99	8.9809078754
100	8.9833172886
