n	H
1	1
2	2.3666941572
3	3.9439015006
4	5.5210263224
5	7.0983950452
6	8.8479894532
7	10.65161903
8	12.419531949
9	14.171929707
10	15.914289009
11	17.649968398
12	19.453076911
13	21.179946629
14	22.930136614
15	24.774978927
16	26.708437012
17	28.681876559
18	30.897257794
19	33.347809979
20	35.489556404
21	37.529238203
22	39.796046725
23	42.028835528
24	44.490087302
25	46.825277922
26	49.233704089
27	51.751058882
28	53.894054043
29	56.353020028
30	58.909600709
31	61.077132295
32	63.790682869
33	66.390169891
34	69.038295202
35	71.80116721
36	74.429271153
37	76.944773333
38	79.571526753
39	82.383315975
40	85.205054902
41	88.036957126
42	90.645936135
43	93.353966345
44	95.963734703
45	98.730149071
46	101.33620278
47	104.03808555
48	106.97431703
49	109.82229492
50	112.70447529
51	115.49297673
52	118.47692466
53	121.43053006
54	124.46140541
55	127.52948451
56	130.65234755
57	133.61598299
58	136.59174149
59	139.61345873
60	142.83410889
61	145.95760765
62	149.07764592
63	152.19598587
64	155.2460116
65	158.38467433
66	161.56973511
67	164.88805936
68	168.02377836
69	171.16312855
70	174.33028212
71	177.44915047
72	180.87023439
73	184.30020891
74	187.61149666
75	190.89525535
76	194.16828992
77	197.28510186
78	201.1281788
79	204.01270929
80	207.65464322
81	211.03862571
82	214.43034908
83	217.66077794
84	221.42725145
85	224.64237899
86	228.11444306
87	231.2166957
88	234.49739354
89	238.06142091
90	241.5998715
91	245.04270944
92	248.61956648
93	251.91146821
94	255.79897581
95	259.02437989
96	262.71071049
97	265.92383161
98	269.60619161
99	273.38733431
100	276.86515082
