n	L
1	2
2	4
3	4.0001392308
4	4.0002191168
5	4.0002827454
6	4.0005133764
7	4.0005045828
8	4.0006288466
9	5.4145453384
10	5.4148545074
11	6.000048352
12	6.0002107844
13	6.000374097
14	6.0006177724
15	6.0007925576
16	6.0009749392
17	6.001084009
18	6.0011695272
19	6.0014563482
20	6.0014683136
21	6.0016326008
22	6.0018972318
23	6.0021498152
24	6.0023826182
25	6.0022695578
26	6.0025113936
27	6.0026974682
28	7.4148669758
29	8.0000644548
30	7.7764248698
31	8.0006144756
32	8.0007109096
33	8.0010985688
34	8.0012751642
35	8.0014163992
36	8.0015106392
37	8.0019548158
38	8.0020473392
39	8.0023683732
40	8.0024450352
41	8.0024617328
42	8.0027794686
43	8.0030635476
44	8.0032402986
45	8.0036567262
46	8.0036580524
47	8.0037489012
48	8.0038108194
49	8.0041600524
50	8.0040983016
51	8.0044949328
52	8.0045873106
53	8.0050298
54	8.0049464432
55	8.0051573834
56	8.0057913978
57	8.005490435
58	8.005977015
59	8.0060457336
60	8.0061116364
61	8.0065360482
62	8.0065606524
63	8.0066035888
64	8.0071324962
65	9.4152395818
66	10.0003806154
67	10.0006689222
68	10.0009999352
69	10.0013057448
70	10.0015903696
71	10.0018446698
72	10.0020428282
73	10.0023026334
74	10.0025834434
75	10.0029025334
76	10.0028885098
77	10.0034982586
78	10.003792119
79	10.0036623068
80	10.0042733742
81	10.0042817942
82	10.0048358236
83	10.0050558224
84	10.0052651576
85	10.0051977564
86	10.0056435338
87	10.006178364
88	10.0062599598
89	10.0069703232
90	10.0070627038
91	10.007499199
92	10.0074827112
93	10.0074970568
94	10.0082165928
95	10.0083678246
96	10.0086560076
97	10.0088858108
98	10.0087875004
99	10.0088844328
100	10.009352439
