n	H
1	1
2	3.0000846036
3	5.0000365197
4	7.0002156723
5	9.0000235791
6	10.999940568
7	13.00000184
8	15.000193275
9	17.000234657
10	19.000154872
11	21.000093861
12	23.000210406
13	25.000263831
14	27.000224794
15	29.000335055
16	31.00024547
17	33.000298254
18	35.000335956
19	36.999862319
20	39.001012814
21	42.000324993
22	45.000297322
23	48.000286656
24	51.000200149
25	54.000451479
26	57.000518539
27	60.000473043
28	63.000574146
29	65.473489535
30	69.000528195
31	72.000417599
32	74.000375162
33	76.640442458
34	80.000592922
35	82.094267616
36	85.001871926
37	88.214203516
38	91.003063579
39	94.002260801
40	97.005030806
41	100.00136678
42	103.00100137
43	106.00122933
44	108.54011748
45	112.00226178
46	115.00101947
47	117.40660853
48	120.40778297
49	123.11490728
50	127.00496243
51	130.00258398
52	135.00043872
53	138.00177123
54	141.00042813
55	142.00329432
56	147.00018825
57	148.00789225
58	153.00080529
59	156.00185968
60	159.00087004
61	162.00135973
62	165.00099887
63	168.00092063
64	171.00172776
65	174.00338236
66	177.00508953
67	180.00306901
68	184.01296369
69	188.00319536
70	190.00543003
71	193.00685341
72	198.00137157
73	201.00296808
74	204.00762926
75	207.02652445
76	211.01556089
77	215.01261252
78	219.0081011
79	223.00900139
80	226.22711062
81	231.0045715
82	235.00198612
83	239.00308182
84	242.02119515
85	246.03412056
86	251.00376363
87	254.03197531
88	258.98284452
89	263.00403207
90	267.0047022
91	271.01041025
92	275.03556943
93	279.0151074
94	283.01959357
95	287.02169441
96	291.02827608
97	295.02109536
98	299.04093222
99	303.01442391
100	307.07587085
