n	L
1	2
2	6.0001692072
3	10.0000730394
4	14.0004313446
5	18.0000471582
6	21.999881136
7	26.00000368
8	30.00038655
9	34.000469314
10	38.000309744
11	42.000187722
12	46.000420812
13	50.000527662
14	54.000449588
15	58.00067011
16	62.00049094
17	66.000596508
18	70.000671912
19	73.999724638
20	78.002025628
21	84.000649986
22	90.000594644
23	96.000573312
24	102.000400298
25	108.000902958
26	114.001037078
27	120.000946086
28	126.001148292
29	130.94697907
30	138.00105639
31	144.000835198
32	148.000750324
33	153.280884916
34	160.001185844
35	164.188535232
36	170.003743852
37	176.428407032
38	182.006127158
39	188.004521602
40	194.010061612
41	200.00273356
42	206.00200274
43	212.00245866
44	217.08023496
45	224.00452356
46	230.00203894
47	234.81321706
48	240.81556594
49	246.22981456
50	254.00992486
51	260.00516796
52	270.00087744
53	276.00354246
54	282.00085626
55	284.00658864
56	294.0003765
57	296.0157845
58	306.00161058
59	312.00371936
60	318.00174008
61	324.00271946
62	330.00199774
63	336.00184126
64	342.00345552
65	348.00676472
66	354.01017906
67	360.00613802
68	368.02592738
69	376.00639072
70	380.01086006
71	386.01370682
72	396.00274314
73	402.00593616
74	408.01525852
75	414.0530489
76	422.03112178
77	430.02522504
78	438.0162022
79	446.01800278
80	452.45422124
81	462.009143
82	470.00397224
83	478.00616364
84	484.0423903
85	492.06824112
86	502.00752726
87	508.06395062
88	517.96568904
89	526.00806414
90	534.0094044
91	542.0208205
92	550.07113886
93	558.0302148
94	566.03918714
95	574.04338882
96	582.05655216
97	590.04219072
98	598.08186444
99	606.02884782
100	614.1517417
