n	L
1	2
2	3.999968674
3	4.0000039118
4	4.0000532162
5	4.0001111788
6	4.0002080354
7	4.0002994874
8	4.000351029
9	5.9999322986
10	5.9999963294
11	6.000040718
12	6.000109385
13	6.0001335736
14	6.0002101626
15	6.0002889318
16	6.0003708334
17	6.0004689612
18	6.0003745962
19	6.0004525052
20	6.0007073538
21	6.0008089404
22	6.000881826
23	6.0009747824
24	6.0010151366
25	6.0010759584
26	6.00126998
27	6.0014032722
28	7.9998983792
29	8.0000074724
30	8.0001116604
31	8.0001240286
32	8.0001718122
33	8.0002374574
34	8.0003098916
35	8.0003781776
36	8.0004881812
37	8.000573799
38	8.0006999462
39	8.000630015
40	8.0007487068
41	8.0009399214
42	8.001008202
43	8.0010782846
44	8.0012206648
45	8.0012283608
46	8.001442032
47	8.001499697
48	8.0015598574
49	8.0015374692
50	8.0018431948
51	8.0018189372
52	8.001873775
53	8.0018646396
54	8.0022028346
55	8.0023934878
56	8.002463123
57	8.0026617558
58	8.0026771928
59	8.002791582
60	8.0029752016
61	8.0030530682
62	8.003232749
63	8.0031695298
64	8.00317293
65	9.9998847742
66	10.000012978
67	10.000078843
68	10.0001687596
69	10.0002368012
70	10.0002780604
71	10.000478359
72	10.000453072
73	10.0006160218
74	10.0006312736
75	10.000727444
76	10.0008616636
77	10.0010780876
78	10.0009628064
79	10.0011066724
80	10.0011449392
81	10.0013335536
82	10.0013612828
83	10.0014966138
84	10.001688736
85	10.0018737476
86	10.001885533
87	10.002195349
88	10.002491551
89	10.0027089348
90	10.0023490758
91	10.00226266
92	10.002546158
93	10.0024580268
94	10.0027287532
95	10.0028178538
96	10.0028291938
97	10.0030991716
98	10.0031611628
99	10.0030510156
100	10.0033931468
