n	L
1	2
2	5.9988942098
3	9.9996691396
4	13.9993550714
5	17.9990889452
6	21.998566994
7	25.998569416
8	29.998900478
9	33.999662984
10	37.999680764
11	41.999667162
12	45.999537822
13	49.999738642
14	53.999871468
15	57.999701352
16	61.999653208
17	65.999790138
18	69.999414576
19	73.999154312
20	78.000032468
21	83.99938114
22	89.999150086
23	95.999350562
24	101.999341702
25	107.999142392
26	113.998866978
27	119.999407738
28	126.000773644
29	131.999091084
30	137.999689574
31	143.999511196
32	149.999370564
33	155.999532058
34	161.99914184
35	167.998906142
36	173.999211764
37	179.998810108
38	185.998774112
39	191.999137104
40	197.999527048
41	203.9986937
42	209.99889386
43	215.99915742
44	221.99916056
45	227.99929584
46	233.99940532
47	239.99865752
48	245.99895798
49	251.99917568
50	257.99963408
51	263.9991272
52	269.99930202
53	275.99907438
54	281.99923408
55	287.99935398
56	293.99928772
57	299.99958834
58	305.99949554
59	311.99974322
60	317.99947508
61	323.99931776
62	329.99924738
63	335.99906072
64	341.99931858
65	347.99953838
66	353.99956618
67	359.9997174
68	365.99990328
69	372.0008554
70	378.00147276
71	384.00426482
72	392.00122662
73	400.00033758
74	406.00404482
75	414.00045928
76	420.0073548
77	428.003422
78	436.00377758
79	444.0003234
80	450.01578304
81	460.00039546
82	468.0001002
83	476.0006519
84	484.00094996
85	492.00074344
86	500.00203734
87	508.00041678
88	516.00045218
89	524.00159582
90	532.00171846
91	540.00019558
92	548.0027856
93	556.00212806
94	564.0007613
95	572.00209932
96	580.0036463
97	588.00636646
98	596.00339956
99	604.00291884
100	612.00420834
