n	L
1	2
2	4.7333883144
3	7.8878030012
4	11.0420526448
5	14.1967900904
6	17.6959789064
7	21.30323806
8	24.839063898
9	28.343859414
10	31.828578018
11	35.299936796
12	38.906153822
13	42.359893258
14	45.860273228
15	49.549957854
16	53.416874024
17	57.363753118
18	61.794515588
19	66.695619958
20	70.979112808
21	75.058476406
22	79.59209345
23	84.057671056
24	88.980174604
25	93.650555844
26	98.467408178
27	103.502117764
28	107.788108086
29	112.706040056
30	117.819201418
31	122.15426459
32	127.581365738
33	132.780339782
34	138.076590404
35	143.60233442
36	148.858542306
37	153.889546666
38	159.143053506
39	164.76663195
40	170.410109804
41	176.073914252
42	181.29187227
43	186.70793269
44	191.927469406
45	197.460298142
46	202.67240556
47	208.0761711
48	213.94863406
49	219.64458984
50	225.40895058
51	230.98595346
52	236.95384932
53	242.86106012
54	248.92281082
55	255.05896902
56	261.3046951
57	267.23196598
58	273.18348298
59	279.22691746
60	285.66821778
61	291.9152153
62	298.15529184
63	304.39197174
64	310.4920232
65	316.76934866
66	323.13947022
67	329.77611872
68	336.04755672
69	342.3262571
70	348.66056424
71	354.89830094
72	361.74046878
73	368.60041782
74	375.22299332
75	381.7905107
76	388.33657984
77	394.57020372
78	402.2563576
79	408.02541858
80	415.30928644
81	422.07725142
82	428.86069816
83	435.32155588
84	442.8545029
85	449.28475798
86	456.22888612
87	462.4333914
88	468.99478708
89	476.12284182
90	483.199743
91	490.08541888
92	497.23913296
93	503.82293642
94	511.59795162
95	518.04875978
96	525.42142098
97	531.84766322
98	539.21238322
99	546.77466862
100	553.73030164
