n	Hx	Hy	Hz
2	46.000264652	34.00015234	41.245710325
3	46.000853098	42.000051773	37.00013443
4	52.000355029	46.000349655	34.000032037
5	50.000544504	49.000418178	38.000457761
6	64.000306628	48.00043797	34.000555561
7	58.000553053	48.000146447	46.000657795
8	48.000267529	60.000277899	47.000541371
9	49.004717164	49.001059424	62.004182356
10	47.001706624	52.00157192	69.000850737
11	69.002107259	48.000616697	56.002679435
12	50.000826863	62.002349021	65.000584309
13	61.005942489	69.002360561	52.004754144
14	68.001221179	63.001666778	55.002362867
15	62.002201941	60.001614275	68.000705458
16	64.014078327	61.016832272	68.025245687
17	62.002119325	70.001042434	64.000782818
18	64.001225079	68.001748549	68.001028865
19	71.000507448	66.000943744	67.00168819
20	69.010687461	70.002255487	68.009707271
21	66.000815496	77.001189792	67.00381424
22	75.003192766	71.002268984	66.00235694
23	75.002004065	68.001299869	74.001655154
24	67.003575376	80.001707684	73.008361893
25	80.003712459	75.001031355	67.003257095
26	66.000423179	79.227203207	80.005513283
27	81.921735536	68.004853107	78.002218961
28	79.002999531	69.004533763	82.002657074
29	83.002514321	79.003067784	72.001331316
30	80.012374715	79.003241999	76.001059603
31	75.003018799	83.001018186	80.017178296
32	83.001589289	76.004685759	81.004166489
33	80.003418766	77.003365166	86.002794374
34	82.002324189	82.004024268	79.004229273
35	84.002074914	80.002667862	82.00303422
36	85.003144701	81.001703818	82.003431986
37	89.003395147	82.002032876	80.00377319
38	90.0040472	81.004846807	81.000415588
39	82.00833344	85.005534187	88.00424896
40	94.011203955	83.005737605	80.006013223
41	83.013869066	94.004802729	82.004901411
42	86.003686325	84.008103275	91.007555982
43	94.007492258	81.008358321	89.005940748
44	91.007854892	85.00336577	89.003212763
45	84.006117799	94.00159967	90.009855154
46	93.005918069	82.005537388	94.006046782
47	85.006892948	92.001248572	95.00109185
48	89.00074522	88.001764323	96.037808919
49	88.006186694	95.002259104	92.00365411
50	89.001031183	92.002577251	97.003669279
51	95.000939508	96.004249707	88.00164951
52	94.006993357	92.021848605	94.006966669
53	95.622416157	96.003697501	91.009232193
54	94.00803736	94.005055887	95.006787324
55	94.003137696	99.002437542	93.007346536
56	96.013764737	93.004721022	97.003736343
57	99.005292977	94.004043389	95.001799629
58	98.006969673	94.012710845	98.000417451
59	96.003921476	95.003633703	101.00624324
60	96.002911682	99.004871938	98.003232829
61	100.00565519	98.009126472	96.00887987
62	95.001108311	101.00634484	101.00538475
63	97.001658615	101.01102664	100.0008987
64	104.00116831	95.003218799	101.02053624
65	101.01042325	96.005268873	105.01060332
66	103.01069411	99.01054708	100.00642721
67	99.013900174	105.01243985	100.00287626
68	102.00478609	97.003809016	107.00933387
69	104.02244009	102.0161215	100.78544041
70	101.00636242	104.01530604	103.00372381
71	98.017410342	107.00932224	105.00185104
72	99.003526004	106.05905826	105.00140912
73	102.00505244	111.00614102	100.0051811
74	101.02597694	104.01485662	108.00681527
75	107.00922132	105.00795639	103.0133125
76	105.00669337	104.01562823	108.01458407
77	110.02105307	109.00653269	100.01610676
78	107.23892484	109.00314346	107.00429999
79	112.01397838	106.27508612	105.00637484
80	101.37285486	111.00345253	111.29541816
81	103.00095656	114.00327005	107.01348294
82	106.00297629	110.00823615	109.01199809
83	108.00665898	105.00534906	112.21193655
84	110.01069021	110.00896696	107.00484613
85	111.02594106	113.00915766	105.01118641
86	108.00961447	112.00668851	110.01079536
87	111.01821316	107.00979646	113.04689914
88	110.00292219	108.01286518	115.02436489
89	108.00889581	110.02040157	116.0080423
90	110.01726018	113.00715592	111.61702763
91	111.00681611	114.01810757	111.00235772
92	111.01588016	114.01008754	111.26406979
93	110.00515378	113.01119379	116.01250133
94	111.06684394	113.94458978	114.00825677
95	113.01645977	119.0035556	109.0263749
96	114.04123758	114.00641832	113.01050275
97	109.01811335	118.00665098	116.00260912
98	115.0058034	114.02157565	114.01013167
99	113.00864688	112.0213939	120.00783333
100	121.01245175	115.01528686	111.02277084
