n	Lx	Ly	Lz
2	92.000529304	68.00030468	82.49142065
3	92.001706196	84.000103546	74.00026886
4	104.000710058	92.00069931	68.000064074
5	100.001089008	98.000836356	76.000915522
6	128.000613256	96.00087594	68.001111122
7	116.001106106	96.000292894	92.00131559
8	96.000535058	120.000555798	94.001082742
9	98.009434328	98.002118848	124.008364712
10	94.003413248	104.00314384	138.001701474
11	138.004214518	96.001233394	112.00535887
12	100.001653726	124.004698042	130.001168618
13	122.011884978	138.004721122	104.009508288
14	136.002442358	126.003333556	110.004725734
15	124.004403882	120.00322855	136.001410916
16	128.028156654	122.033664544	136.050491374
17	124.00423865	140.002084868	128.001565636
18	128.002450158	136.003497098	136.00205773
19	142.001014896	132.001887488	134.00337638
20	138.021374922	140.004510974	136.019414542
21	132.001630992	154.002379584	134.00762848
22	150.006385532	142.004537968	132.00471388
23	150.00400813	136.002599738	148.003310308
24	134.007150752	160.003415368	146.016723786
25	160.007424918	150.00206271	134.00651419
26	132.000846358	158.454406414	160.011026566
27	163.843471072	136.009706214	156.004437922
28	158.005999062	138.009067526	164.005314148
29	166.005028642	158.006135568	144.002662632
30	160.02474943	158.006483998	152.002119206
31	150.006037598	166.002036372	160.034356592
32	166.003178578	152.009371518	162.008332978
33	160.006837532	154.006730332	172.005588748
34	164.004648378	164.008048536	158.008458546
35	168.004149828	160.005335724	164.00606844
36	170.006289402	162.003407636	164.006863972
37	178.006790294	164.004065752	160.00754638
38	180.0080944	162.009693614	162.000831176
39	164.01666688	170.011068374	176.00849792
40	188.02240791	166.01147521	160.012026446
41	166.027738132	188.009605458	164.009802822
42	172.00737265	168.01620655	182.015111964
43	188.014984516	162.016716642	178.011881496
44	182.015709784	170.00673154	178.006425526
45	168.012235598	188.00319934	180.019710308
46	186.011836138	164.011074776	188.012093564
47	170.013785896	184.002497144	190.0021837
48	178.00149044	176.003528646	192.075617838
49	176.012373388	190.004518208	184.00730822
50	178.002062366	184.005154502	194.007338558
51	190.001879016	192.008499414	176.00329902
52	188.013986714	184.04369721	188.013933338
53	191.244832314	192.007395002	182.018464386
54	188.01607472	188.010111774	190.013574648
55	188.006275392	198.004875084	186.014693072
56	192.027529474	186.009442044	194.007472686
57	198.010585954	188.008086778	190.003599258
58	196.013939346	188.02542169	196.000834902
59	192.007842952	190.007267406	202.01248648
60	192.005823364	198.009743876	196.006465658
61	200.01131038	196.018252944	192.01775974
62	190.002216622	202.01268968	202.0107695
63	194.00331723	202.02205328	200.0017974
64	208.00233662	190.006437598	202.04107248
65	202.0208465	192.010537746	210.02120664
66	206.02138822	198.02109416	200.01285442
67	198.027800348	210.0248797	200.00575252
68	204.00957218	194.007618032	214.01866774
69	208.04488018	204.032243	201.57088082
70	202.01272484	208.03061208	206.00744762
71	196.034820684	214.01864448	210.00370208
72	198.007052008	212.11811652	210.00281824
73	204.01010488	222.01228204	200.0103622
74	202.05195388	208.02971324	216.01363054
75	214.01844264	210.01591278	206.026625
76	210.01338674	208.03125646	216.02916814
77	220.04210614	218.01306538	200.03221352
78	214.47784968	218.00628692	214.00859998
79	224.02795676	212.55017224	210.01274968
80	202.74570972	222.00690506	222.59083632
81	206.00191312	228.0065401	214.02696588
82	212.00595258	220.0164723	218.02399618
83	216.01331796	210.01069812	224.4238731
84	220.02138042	220.01793392	214.00969226
85	222.05188212	226.01831532	210.02237282
86	216.01922894	224.01337702	220.02159072
87	222.03642632	214.01959292	226.09379828
88	220.00584438	216.02573036	230.04872978
89	216.01779162	220.04080314	232.0160846
90	220.03452036	226.01431184	223.23405526
91	222.01363222	228.03621514	222.00471544
92	222.03176032	228.02017508	222.52813958
93	220.01030756	226.02238758	232.02500266
94	222.13368788	227.88917956	228.01651354
95	226.03291954	238.0071112	218.0527498
96	228.08247516	228.01283664	226.0210055
97	218.0362267	236.01330196	232.00521824
98	230.0116068	228.0431513	228.02026334
99	226.01729376	224.0427878	240.01566666
100	242.0249035	230.03057372	222.04554168
