n	Hx	Hy	Hz
2	1.0001370935	0.30015451113	2.0001173664
3	0.50017709678	3.0000435939	1.5000892382
4	0.70075192814	2.0003578679	4.0006524891
5	1.200414116	2.500072016	5.0000815384
6	3.0001899628	6.0000953481	1.5004136057
7	7.0000413044	2.2006214492	3.5001080976
8	8.0001165298	2.6005240672	4.000330191
9	3.400165037	4.5003299019	9.0000860254
10	5.000237286	4.0010019256	10.000209186
11	4.5009323452	5.6001745466	11.000145765
12	6.2005375833	5.0009082369	12.000236645
13	5.5017665125	13.000539892	7.0002322171
14	14.000283109	6.001465449	7.80039248
15	6.4721371767	15.010196768	9.0006409847
16	8.5017651354	16.000493396	9.5010014639
17	9.1010346566	17.000328191	8.7013505861
18	10.100787001	9.1004399415	18.000045165
19	19.000724714	9.7023455278	11.100738188
20	11.101625747	20.00011243	11.500248072
21	11.802368147	21.00005019	12.101329041
22	22.000160237	13.500576274	12.300620366
23	23.000375933	13.401462073	14.002929296
24	14.623385905	24.000042423	14.502913054
25	17.400343551	13.603016293	25.000437961
26	17.800533644	14.903390121	26.000204495
27	17.101342061	17.302873482	27.000250728
28	28.000421714	15.900903621	20.701122467
29	29.000161647	22.303883382	16.202477651
30	22.402560851	18.601681757	30.000410018
31	21.804195287	31.00036425	20.00361409
32	32.000247582	20.806031189	23.202435567
33	21.005826917	25.00012381	33.000562798
34	26.301567175	34.000298735	21.704091352
35	35.000287623	27.304889527	22.900653953
36	23.702969697	28.206499218	36.000971559
37	25.702172643	37.000361272	29.000112944
38	24.504162401	31.502427977	38.000159613
39	39.000345328	26.57763852	32.529796499
40	30.0025461	31.002411585	40.000035229
41	32.705552077	41.000404748	30.502486931
42	42.000479166	36.506098478	29.005517852
43	43.000664549	31.620143793	35.51560896
44	37.500835406	32.602565351	44.000301242
45	45.000168325	39.002062782	33.502600683
46	41.000643803	34.031054771	46.00130358
47	39.504183268	37.315189338	47.000593141
48	40.001659694	39.614051422	48.00004294
49	49.001474288	45.501382878	36.603497669
50	41.805938459	50.000323603	42.50243503
51	51.000809004	38.503209131	49.004287306
52	40.605642299	52.000192314	49.000530548
53	53.000300508	46.302930555	51.00027797
54	51.000771524	45.404613944	54.00041668
55	52.002512329	55.000449076	45.203557708
56	54.004725642	56.000168449	46.196385752
57	47.105565868	55.009159294	57.000072239
58	48.018971585	58.000179989	57.804618342
59	50.461469776	57.700888144	59.0002143
60	58.501829445	51.901928697	60.000291369
61	61.000343305	53.683176968	59.500931834
62	60.606845982	55.731094063	62.002419221
63	56.633510593	61.802661035	63.000609052
64	59.824891738	64.202008186	61.207290415
65	65.001694578	63.501523635	60.90585614
66	64.502092452	66.000447678	62.504939776
67	65.514511415	67.000497146	64.038520099
68	68.000264419	69.304359566	63.30214146
69	69.604090809	67.5019581	67.362203726
70	70.000559591	68.721794291	69.50103455
71	65.203365343	78.010039119	70.001279501
72	71.926998057	71.582402372	72.00065112
73	73.820509531	74.201803122	72.003640285
74	74.900828459	75.011512349	74.201957857
75	76.402825041	75.501955569	75.722389757
76	79.103288162	74.189521147	78.20496144
77	78.401996403	77.103646121	80.507223729
78	83.01764751	79.520318522	77.226428332
79	82.711886962	82.401575135	79.000689179
80	80.301319535	89.510270092	78.504872658
81	81.120895068	85.332477642	85.20986949
82	85.705692075	82.401476843	87.707958444
83	90.108485096	86.901352706	83.001975207
84	88.66651274	86.615251876	88.501089667
85	91.900980913	89.213347258	87.510930396
86	90.500656146	88.615921059	93.705081664
87	98.90258337	88.904234288	89.610287812
88	99.656129358	89.503672291	91.936610978
89	95.835394291	98.103488556	90.706749357
90	96.707074755	94.507855505	97.919968269
91	101.40963629	93.255406541	99.010445514
92	96.125645879	103.30861242	98.802358598
93	104.50853708	100.50563703	96.500665108
94	103.90932185	100.02841899	102.71753107
95	109.61258587	101.70122861	99.984731644
96	105.74439376	108.61228094	101.14341184
97	106.40518483	108.31588493	108.51943089
98	110.70268595	109.70543187	103.6044579
99	110.23737255	107.91302558	110.30379687
100	107.11207127	114.00196244	111.7038676
