n	Lx	Ly	Lz
2	2.000274187	0.60030902226	4.0002347328
3	1.00035419356	6.0000871878	3.0001784764
4	1.40150385628	4.0007157358	8.0013049782
5	2.400828232	5.000144032	10.0001630768
6	6.0003799256	12.0001906962	3.0008272114
7	14.0000826088	4.4012428984	7.0002161952
8	16.0002330596	5.2010481344	8.000660382
9	6.800330074	9.0006598038	18.0001720508
10	10.000474572	8.0020038512	20.000418372
11	9.0018646904	11.2003490932	22.00029153
12	12.4010751666	10.0018164738	24.00047329
13	11.003533025	26.001079784	14.0004644342
14	28.000566218	12.002930898	15.60078496
15	12.9442743534	30.020393536	18.0012819694
16	17.0035302708	32.000986792	19.0020029278
17	18.2020693132	34.000656382	17.4027011722
18	20.201574002	18.200879883	36.00009033
19	38.001449428	19.4046910556	22.201476376
20	22.203251494	40.00022486	23.000496144
21	23.604736294	42.00010038	24.202658082
22	44.000320474	27.001152548	24.601240732
23	46.000751866	26.802924146	28.005858592
24	29.24677181	48.000084846	29.005826108
25	34.800687102	27.206032586	50.000875922
26	35.601067288	29.806780242	52.00040899
27	34.202684122	34.605746964	54.000501456
28	56.000843428	31.801807242	41.402244934
29	58.000323294	44.607766764	32.404955302
30	44.805121702	37.203363514	60.000820036
31	43.608390574	62.0007285	40.00722818
32	64.000495164	41.612062378	46.404871134
33	42.011653834	50.00024762	66.001125596
34	52.60313435	68.00059747	43.408182704
35	70.000575246	54.609779054	45.801307906
36	47.405939394	56.412998436	72.001943118
37	51.404345286	74.000722544	58.000225888
38	49.008324802	63.004855954	76.000319226
39	78.000690656	53.15527704	65.059592998
40	60.0050922	62.00482317	80.000070458
41	65.411104154	82.000809496	61.004973862
42	84.000958332	73.012196956	58.011035704
43	86.001329098	63.240287586	71.03121792
44	75.001670812	65.205130702	88.000602484
45	90.00033665	78.004125564	67.005201366
46	82.001287606	68.062109542	92.00260716
47	79.008366536	74.630378676	94.001186282
48	80.003319388	79.228102844	96.00008588
49	98.002948576	91.002765756	73.206995338
50	83.611876918	100.000647206	85.00487006
51	102.001618008	77.006418262	98.008574612
52	81.211284598	104.000384628	98.001061096
53	106.000601016	92.60586111	102.00055594
54	102.001543048	90.809227888	108.00083336
55	104.005024658	110.000898152	90.407115416
56	108.009451284	112.000336898	92.392771504
57	94.211131736	110.018318588	114.000144478
58	96.03794317	116.000359978	115.609236684
59	100.922939552	115.401776288	118.0004286
60	117.00365889	103.803857394	120.000582738
61	122.00068661	107.366353936	119.001863668
62	121.213691964	111.462188126	124.004838442
63	113.267021186	123.60532207	126.001218104
64	119.649783476	128.404016372	122.41458083
65	130.003389156	127.00304727	121.81171228
66	129.004184904	132.000895356	125.009879552
67	131.02902283	134.000994292	128.077040198
68	136.000528838	138.608719132	126.60428292
69	139.208181618	135.0039162	134.724407452
70	140.001119182	137.443588582	139.0020691
71	130.406730686	156.020078238	140.002559002
72	143.853996114	143.164804744	144.00130224
73	147.641019062	148.403606244	144.00728057
74	149.801656918	150.023024698	148.403915714
75	152.805650082	151.003911138	151.444779514
76	158.206576324	148.379042294	156.40992288
77	156.803992806	154.207292242	161.014447458
78	166.03529502	159.040637044	154.452856664
79	165.423773924	164.80315027	158.001378358
80	160.60263907	179.020540184	157.009745316
81	162.241790136	170.664955284	170.41973898
82	171.41138415	164.802953686	175.415916888
83	180.216970192	173.802705412	166.003950414
84	177.33302548	173.230503752	177.002179334
85	183.801961826	178.426694516	175.021860792
86	181.001312292	177.231842118	187.410163328
87	197.80516674	177.808468576	179.220575624
88	199.312258716	179.007344582	183.873221956
89	191.670788582	196.206977112	181.413498714
90	193.41414951	189.01571101	195.839936538
91	202.81927258	186.510813082	198.020891028
92	192.251291758	206.61722484	197.604717196
93	209.01707416	201.01127406	193.001330216
94	207.8186437	200.05683798	205.43506214
95	219.22517174	203.40245722	199.969463288
96	211.48878752	217.22456188	202.28682368
97	212.81036966	216.63176986	217.03886178
98	221.4053719	219.41086374	207.2089158
99	220.4747451	215.82605116	220.60759374
100	214.22414254	228.00392488	223.4077352
