n	V
2	4.803412428871165
3	18.007708393381698
4	44.86346528978096
5	120.04682721423754
6	216.07667400923293
7	431.3376705778063
8	665.7988140943723
9	1101.7447666852706
10	1600.5102005117644
11	2218.1579877176737
12	2976.8573731692613
13	4005.585237606299
14	5243.250054457285
15	6995.157945608821
16	10339.555057249916
17	10770.22380004967
18	13236.74440000024
19	16371.510454190975
20	20427.546847689442
21	23994.546535686386
22	29227.734449144697
23	34529.95394017881
24	40719.757289512134
25	47340.260678598104
26	55180.399830814466
27	63915.50286769128
28	73734.4184286703
29	83840.20323592772
30	100015.44071712802
31	108169.6225780392
32	123585.10926821636
33	138641.50866448262
34	155273.004000276
35	175085.39016405732
36	192555.60181434095
37	220630.46346640636
38	234670.9314910152
39	269746.72228212515
40	297648.67263924005
41	327216.25154936843
42	355787.16484092956
43	386320.9501549065
44	430366.39628274116
45	470403.15223405376
46	513483.16803632927
47	554270.8802584924
48	608497.6211193922
49	652899.4702760199
50	710746.2732514843
51	769835.719137528
52	827717.435785891
53	1.0012657046579501e6
54	1.0003773068460796e6
55	1.034315814629448e6
56	1.117684127912266e6
57	1.181605832376161e6
58	1.287937299889994e6
59	1.3743139978856863e6
60	1.457458812243495e6
61	1.5587779107379452e6
62	1.6753975447531731e6
63	1.7640682897855574e6
64	1.880717974145991e6
65	2.011212056653508e6
66	2.1287517246099995e6
67	2.2487791488486e6
68	2.386599499225814e6
69	2.531963317740916e6
70	2.674713429548336e6
71	2.8485016310443464e6
72	2.965682233614375e6
73	3.1552657114362274e6
74	3.3351847356332084e6
75	3.494474825820934e6
76	3.671651034770643e6
77	3.893380726224167e6
78	4.078537595819154e6
79	4.307490310702668e6
80	4.514214067850846e6
81	4.718750083509681e6
82	4.955342199342365e6
83	5.199608434412341e6
84	5.43741656045827e6
85	5.739872815011552e6
86	6.011967362406859e6
87	6.303444606580067e6
88	6.560294671809474e6
89	6.822443937650824e6
90	7.159577695707405e6
91	7.490731778188668e6
92	7.849339225369003e6
93	8.108910045542391e6
94	8.541073793764904e6
95	8.916826062628163e6
96	9.29316980099033e6
97	1.0005814270055842e7
98	1.0065948851389552e7
99	1.0497434453560611e7
100	1.0912115198414462e7
