N	Hx	Hy	Hz
1	1	1	1
2	2	1	1
3	1.8660666459	1.0000213644	2.0000258938
4	2.0000532921	1.0000293174	2.0000573141
5	1.8660388273	2.0000463677	1.8165178229
6	1.8660483188	1.8660340875	2.0000733759
7	2.000020269	1.9920706185	1.9920953412
8	2.0000418673	2.0000359383	2.0000936924
9	2.0000526429	2.0001175873	2.4142158747
10	1.8660554604	1.8661153282	3.0000851436
11	1.9921340255	2.0000312695	2.9840771968
12	2.0000645729	3.0000784711	2.000110603
13	2.4143073483	2.4142896005	2.4143282864
14	2.4143512987	2.414238978	2.4143413516
15	1.8661228119	2.7322057942	3.0000905227
16	2.7321963928	2.0001407526	3.0001271123
17	2.9842079441	2.0002934766	2.9842342904
18	2.41433286	3.1213949986	2.4143956075
19	2.7350397273	2.7351403261	2.715889603
20	2.9780139497	2.7103130875	2.7042662026
21	2.7321980998	3.0001039065	2.6331453393
22	2.4143477225	3.0002411639	3.000306381
23	2.7321769727	2.7322329805	3.0001937015
24	3.0000991956	2.8582750012	2.8581717903
25	2.9478634479	2.9477870107	3.0002197288
26	2.7321756671	3.4875996461	2.7322699033
27	2.7322178833	2.7322807857	3.5001725226
28	3.4992702465	2.7323001701	3.0002982099
29	2.8284202062	3.492615124	3.0003803533
30	2.7322691582	3.5982280269	3.0003115385
31	3.121566493	3.1215219739	3.1216347486
32	3.1215606782	3.1216468782	3.1215204921
33	3.1216655686	3.3845419166	3.1214997884
34	3.3210527816	3.3209101225	3.181424629
35	3.5001472086	3.5981938812	2.7321611467
36	2.7322096974	3.5984145194	3.5003158054
37	3.352803226	3.3566980561	3.3552568436
38	3.3571849748	3.3572993969	3.3573238636
39	3.1215970251	3.8286597424	3.1218310163
40	3.8287967568	3.1217351885	3.1215458047
41	3.8294017924	3.1233453951	3.385447349
42	3.174391661	3.3524453287	3.9253852566
43	3.7321867024	3.7322605505	3.0004656627
44	3.4392648684	3.6557870952	3.439444728
45	3.6134899846	3.5283771429	3.5360952389
46	3.5743725477	3.5742942653	3.5407206639
47	3.5983640118	3.5002279141	3.5983539914
48	3.5006387452	3.5983589237	3.5983575616
49	3.8288123193	3.8288766669	3.1217046026
50	3.8286904747	3.8289052171	3.1218034112
51	3.8286388694	3.8289732433	3.3825685903
52	3.5984099276	3.4995750798	4.0006423442
53	3.5984423551	4.0005121562	3.4996267792
54	3.49292977	4.0005528919	3.6947931513
55	3.5984106433	4.0003431112	3.5984672525
56	3.5984920919	3.5985122868	4.0005694607
57	4.0005428599	3.706195546	3.7060932115
58	3.7074143691	3.7077315732	4.0006015325
59	4.0005544885	3.7322520244	3.7322488761
60	4.5359930598	3.1219415891	3.8290241978
61	3.8289691823	3.8288161924	3.8290201623
62	3.8289031926	3.8291221555	3.8288363473
63	3.8289411469	3.8290258054	3.8289126939
64	3.8747722817	3.8748513168	4.0446321565
65	4.0912910844	3.7761728941	3.9962404218
66	3.9725213696	3.9785277891	3.9786434112
67	4.293546192	3.7312153027	4.000877215
68	3.9973444839	3.903094337	4.1894820324
69	3.5987015634	4.000698951	4.4647109784
70	3.5987875864	4.4645334507	4.0007528933
71	4.0645738488	4.064505009	4.0642616386
72	4.064708724	4.064640292	4.0647422999
73	3.8292389509	4.5359837752	3.8292186046
74	3.8290215193	3.8290366085	4.5362772037
75	3.8290847228	3.8291981441	4.5360376711
76	3.959689128	3.9598224212	4.524819416
77	3.883492153	3.884634848	4.7542118472
78	3.9260943675	4.7096829598	3.9339202187
79	3.9760923463	4.6664641939	3.9763850176
80	4.1430586707	4.1428744539	4.4355403438
81	4.1132716249	4.634203277	4.1019130301
82	4.0769822403	4.080620989	4.6862785225
83	4.0685279714	4.7475163382	4.0688376397
84	4.0652881583	4.0648634038	4.7701412038
85	4.3661306979	4.0011492318	4.4648931035
86	4.0648989052	4.7720181852	4.0647229932
87	4.300477436	4.3007689882	4.3005399443
88	4.4646036363	4.464704464	4.0012230615
89	4.5363573308	3.8294055713	4.5363099398
90	4.5364829947	3.8293055655	4.5362011009
91	4.6631835673	4.6700712683	3.8376348883
92	4.5360882675	4.5369831932	4.1086805339
93	4.8205200416	4.467834368	3.9985230919
94	4.5369778144	4.242014579	4.5354184415
95	4.3659314223	4.4648085824	4.5009153829
96	4.3658752511	4.4647918354	4.5009299939
97	4.4427209306	4.5377382734	4.4423173859
98	4.4646400248	4.4645825087	4.4995081324
99	4.4646528361	4.5010537265	4.4648340752
100	4.4649236969	4.4649331554	4.5010355786
