N	Hx	Hy	Hz
1	1	1	1
2	2.8228975492	2.0000742139	2.0000717657
3	4.897848575	3.0003159797	3.0000589629
4	4.0006693989	6.9275175621	4.2826525084
5	8.4359715141	5.0001453242	6.6229100315
6	9.9344022574	8.7143549172	6.000025162
7	11.801407767	7.0001760756	10.736261705
8	12.76198858	13.83741881	8.0000677568
9	14.623063128	15.797336747	9.7957893618
10	13.287949537	15.50483474	16.84870714
11	17.544504252	14.690271104	18.776217067
12	20.466483604	19.591861352	16.590172592
13	18.508007743	21.630562548	22.080954573
14	20.425307533	23.65453079	23.661870057
15	25.187121434	25.688689035	22.353593215
16	26.767718519	27.690847704	24.377829365
17	29.000276364	27.68387059	28.621943487
18	30.463799365	29.389777472	32.11044877
19	33.848200287	32.603426378	31.581787044
20	36.155681062	34.639698119	33.789408839
21	39.248738122	39.928428927	32.514810403
22	35.244506806	41.95343246	41.022381501
23	37.116984137	44.991716723	42.968723458
24	46.982491186	39.426430399	45.796323065
25	41.428609095	50.09150399	48.198664748
26	48.197349619	51.644310905	46.731836085
27	53.84003575	49.241158289	50.912474292
28	54.211220628	51.905389595	54.990956643
29	56.156599237	54.97727745	56.990900766
30	59.271602599	56.977817769	59.476040019
31	61.593308183	58.992669121	62.746847241
32	65.096068296	63.933631039	61.960415037
33	71.50488016	63.343959243	63.970478045
34	75.552235687	65.969746755	64.992360093
35	67.97038504	67.719086738	78.166142104
36	80.801979531	70.966801177	69.977505983
37	70.993930453	73.532702306	84.630970842
38	86.737021992	75.85555297	75.240444485
39	76.984811684	81.66477158	87.316225184
40	79.944862024	82.04339528	91.877306126
41	81.261127689	89.927654726	91.382774783
42	91.753602064	86.667345696	92.589528734
43	89.371341307	94.208031764	95.298177433
44	93.489578065	94.819714921	98.726281827
45	100.86926984	96.005095165	98.491731114
46	99.940102013	101.66728379	102.15523673
47	105.32948896	105.59252646	101.25630842
48	110.86127621	106.29328077	106.37224897
49	109.94024701	107.16023066	111.94872164
50	110.16007535	115.28128094	112.07256705
51	110.76187766	116.64553841	119.39026477
52	119.01056822	117.29348703	118.85703504
53	117.56056392	121.68110555	124.80038977
54	123.95292751	124.67401247	124.27707444
55	131.20020602	131.52442541	119.61707454
56	125.41223257	128.46444154	137.10509992
57	133.85747847	128.96201854	137.18046287
58	138.04961359	128.7578483	142.86659769
59	146.30746281	135.86527216	136.43867558
60	149.50861752	135.88023524	142.50300539
61	137.45855458	151.77123363	148.48190959
62	141.21655049	153.28120636	151.60900581
63	156.81786179	155.07452229	144.13999505
64	157.06970985	154.76335004	153.22859288
65	168.45400269	153.04074521	153.64164674
66	164.87454394	153.32126414	165.85677095
67	170.22902949	162.24949437	161.15552076
68	165.15099602	164.38884885	173.32214121
69	160.63741457	175.88023316	176.26510817
70	170.58628214	180.97234562	170.68785105
71	181.79588309	167.83360933	183.11553638
72	187.92261795	167.47033702	187.63937608
73	180.34632428	180.4441534	189.83797881
74	187.19327583	191.17725498	183.54054943
75	187.23434996	191.79816497	193.05800055
76	196.77285605	199.18964951	185.79790948
77	199.4514367	195.45437059	196.83924647
78	204.4473306	205.76735252	192.22735668
79	194.00691687	209.46088635	208.94180593
80	195.21659934	211.64724647	215.84348088
81	210.50769806	211.01809503	209.90391048
82	216.575745	209.29955749	216.35226089
83	217.06542062	218.07032067	217.39415732
84	222.44444738	217.48520807	222.17468085
85	221.94382699	222.89123429	228.07574457
86	229.73686628	228.75686134	224.44669941
87	231.79548231	233.72396066	230.76133265
88	233.11828332	234.17600968	235.58059177
89	235.08245162	238.79507172	239.81495939
90	244.40212044	240.94702568	238.65516597
91	243.80938018	241.84213485	248.06654295
92	246.868871	251.88974111	245.08999884
93	250.34884533	254.83333023	248.76970773
94	250.54227394	257.45097184	257.98574776
95	255.40688359	263.2611868	257.85772241
96	261.51675893	261.9712163	263.84286543
97	263.04437062	268.77137298	265.92974407
98	266.97264493	273.02577278	267.90782932
99	272.77934484	272.8417732	273.59519313
100	275.3372538	278.96263551	275.91219731
