n	V
2	516071.60896706546
3	571885.3884597521
4	650634.0007458112
5	744823.4395962827
6	835609.2812105864
7	1.0245395455174013e6
8	1.0829035243184774e6
9	1.1911167408383368e6
10	1.3491944050252624e6
11	1.4839113758074716e6
12	1.6121022252709956e6
13	1.751334583244332e6
14	1.885124705749853e6
15	2.0238273152956762e6
16	2.1256182008551247e6
17	2.222216229538829e6
18	2.367630019340296e6
19	2.5118131550827986e6
20	2.6283868127252143e6
21	2.7241828238064493e6
22	2.811909959130358e6
23	3.019405924745005e6
24	3.130832448152018e6
25	3.2163498173715705e6
26	3.3468091538592456e6
27	3.4764500650269403e6
28	3.5763426191220703e6
29	3.7771629210627805e6
30	3.843365681548012e6
31	3.985064757567284e6
32	4.0881245676829517e6
33	4.238584057853578e6
34	4.250124527013476e6
35	4.408739034122082e6
36	4.517011149997761e6
37	4.671234282138968e6
38	4.724439347561425e6
39	4.907935144578835e6
40	4.994595761557991e6
41	5.119534757991857e6
42	5.260241513890219e6
43	5.422521472826327e6
44	5.508212302665071e6
45	5.686253394026362e6
46	5.735873169682122e6
47	5.943830931818451e6
48	6.017515983924576e6
49	6.153783311448924e6
50	6.354379977511743e6
51	6.42094807369104e6
52	6.505806509861091e6
53	6.683794835004396e6
54	6.7167752616389645e6
55	6.924612554399755e6
56	6.9297400375971785e6
57	7.073376362836694e6
58	7.223729076936507e6
59	7.369998425906529e6
60	7.451974503779279e6
61	7.528222870923303e6
62	7.753750846842505e6
63	7.838660143392775e6
64	7.985023422273249e6
65	8.146750196548663e6
66	8.15984055952039e6
67	8.318392240776028e6
68	8.470732845191788e6
69	8.556253244255533e6
70	8.657428129031584e6
71	8.810727705831625e6
72	8.820303783787383e6
73	9.059019121248811e6
74	9.079659895349793e6
75	9.260336109347764e6
76	9.43817365989938e6
77	9.595956163173841e6
78	1.0006511315692773e7
79	1.0000215070959438e7
80	1.0019024454064764e7
81	1.0052800242941538e7
82	1.0169686087988982e7
83	1.0181013175427381e7
84	1.0359920190399809e7
85	1.054055922762706e7
86	1.0647108135527678e7
87	1.0744010207738692e7
88	1.0933508316113716e7
89	1.1028357524580387e7
90	1.1101641796742985e7
91	1.1239465674287727e7
92	1.1266092534482256e7
93	1.1537966475255419e7
94	1.1542620911637269e7
95	1.1730680207365595e7
96	1.1754387872104147e7
97	1.1938860883764315e7
98	1.1960249200549886e7
99	1.2153804021594714e7
100	1.2361969732025398e7
