n	Hx	Hy	Hz
2	0.50023025321	1.2508367173	2.0004026797
3	1.5000507956	3.0001310524	1.2501977946
4	1.7502128647	2.00011947	4.000320708
5	3.5003042418	2.0004210948	5.0000668816
6	4.2504858604	2.5007867368	6.0001298915
7	7.0001837465	5.5010614343	3.2511928523
8	8.0005249102	4.5004576734	5.5003962275
9	9.0003453522	6.2501244949	5.5009983229
10	6.5004281112	10.00008051	6.7508737454
11	7.5011055601	11.250574136	7.2505290696
12	12.000575813	10.003269107	7.5021448229
13	9.0005067699	13.000033297	10.750645119
14	14.000193679	11.500937492	9.7509326169
15	15.000264037	10.750980231	12.500954849
16	16.000498532	12.001589828	14.00075571
17	12.252241634	16.001494931	17.000085802
18	14.251512086	18.000958506	16.001092393
19	15.251747901	19.000224649	17.500875809
20	16.500664098	19.000559384	20.000123965
21	19.251214203	18.501451901	21.000297246
22	19.750423824	22.000427487	21.001685946
23	23.250648745	20.751291808	22.001770159
24	24.250866431	22.751029251	23.001131884
25	21.752453461	25.750142984	26.001206931
26	26.751697333	26.00024559	24.501331782
27	27.251093684	26.501246312	27.001103193
28	27.002465046	28.500481378	29.502141557
29	29.251335613	30.634297119	29.250837507
30	33.251119271	31.001129961	28.750525643
31	30.502853089	31.752131592	34.251386933
32	35.004901033	32.25140018	33.613240277
33	33.568964269	34.754507027	36.500688426
34	36.001936911	35.250675726	38.001246009
35	35.014053297	41.50508786	36.504568987
36	40.256520485	38.25134384	39.501325774
37	40.002274868	41.75132307	40.261365548
38	41.750658852	42.003876168	42.502072325
39	41.004275868	46.500454228	44.002190916
40	46.255377516	46.501154784	42.251679974
41	43.7526004	49.001794964	47.251563843
42	49.500632771	48.507095742	46.750840449
43	50.25234294	50.251267864	49.501378402
44	50.753671921	49.752900395	53.500854459
45	51.751627792	51.252304848	55.250440034
46	56.251049798	51.752522363	55.001278006
47	55.002275141	55.002509504	57.227843603
48	56.251503425	57.751880302	57.795984044
49	57.246659899	61.018009524	58.50526755
50	60.750327991	62.003229165	58.750203971
51	59.504220683	64.035718756	63.001310879
52	59.762877123	63.003245242	68.750924003
53	65.250948841	67.75120287	62.507273922
54	63.2566207	71.001501545	67.001352111
55	66.001068767	72.514664961	67.251164432
56	67.751093441	69.780727875	73.004152178
57	69.252152452	72.502304789	73.750649322
58	72.25087574	74.50103328	74.000660368
59	77.000627547	76.571571485	72.001075945
60	83.754749776	76.255345865	70.767057176
61	82.527550273	79.001470164	74.148910142
62	77.000876144	75.751295401	88.002147331
63	80.504671518	82.014699952	83.00118609
64	77.25489969	83.600329848	90.008010047
65	85.256256369	84.002921271	87.505892763
66	89.001526482	81.618295495	91.003155263
67	91.501526383	85.504324265	89.53261126
68	93.504251541	91.50096654	86.754266621
69	97.502692569	93.003041498	86.502589735
70	88.00294618	95.509499714	99.504836991
71	93.273498939	95.272891565	99.560081226
72	95.001557844	103.00056349	95.253715433
73	93.819132336	104.51874184	99.008923977
74	99.253636659	103.01158387	102.00082
75	103.25175938	99.755826626	106.27288868
76	105.50372874	110.25244849	99.502027244
77	109.00281559	104.2599233	110.00852178
78	111.50355427	107.75263668	106.03328179
79	113.53167975	108.48782304	109.06946427
80	113.0011866	111.00750064	112.00062526
81	118.8179862	110.18069107	114.00090494
82	115.06463686	116.08947499	116.75139038
83	116.25472715	119.51136637	118.00336481
84	129.2686828	112.01680915	118.25171771
85	122.52300889	118.50093632	123.81879806
86	126.54897074	125.15996206	119.17002469
87	123.50103118	123.51534688	129.50644822
88	128.4411931	122.00127476	132.00216907
89	130.00921023	129.75170016	128.02682162
90	130.75361931	134.00582714	129.03657842
91	134.01484582	135.71378391	129.50860979
92	131.13044348	134.2852678	139.27187776
93	142.00697464	140.2764787	128.77805204
94	141.5037889	134.78985186	139.33715034
95	140.50442507	137.55192643	144.50274361
96	147.00831586	143.50205686	138.25621376
97	140.34049395	145.60362822	147.75827236
98	153.72646143	141.50471895	144.79279041
99	149.0377242	141.24935439	156.51186613
100	156.26299619	148.81596741	147.00210317
