n	Lx	Ly	Lz
2	1.00046050642	2.5016734346	4.0008053594
3	3.0001015912	6.0002621048	2.5003955892
4	3.5004257294	4.00023894	8.000641416
5	7.0006084836	4.0008421896	10.0001337632
6	8.5009717208	5.0015734736	12.000259783
7	14.000367493	11.0021228686	6.5023857046
8	16.0010498204	9.0009153468	11.000792455
9	18.0006907044	12.5002489898	11.0019966458
10	13.0008562224	20.00016102	13.5017474908
11	15.0022111202	22.501148272	14.5010581392
12	24.001151626	20.006538214	15.0042896458
13	18.0010135398	26.000066594	21.501290238
14	28.000387358	23.001874984	19.5018652338
15	30.000528074	21.501960462	25.001909698
16	32.000997064	24.003179656	28.00151142
17	24.504483268	32.002989862	34.000171604
18	28.503024172	36.001917012	32.002184786
19	30.503495802	38.000449298	35.001751618
20	33.001328196	38.001118768	40.00024793
21	38.502428406	37.002903802	42.000594492
22	39.500847648	44.000854974	42.003371892
23	46.50129749	41.502583616	44.003540318
24	48.501732862	45.502058502	46.002263768
25	43.504906922	51.500285968	52.002413862
26	53.503394666	52.00049118	49.002663564
27	54.502187368	53.002492624	54.002206386
28	54.004930092	57.000962756	59.004283114
29	58.502671226	61.268594238	58.501675014
30	66.502238542	62.002259922	57.501051286
31	61.005706178	63.504263184	68.502773866
32	70.009802066	64.50280036	67.226480554
33	67.137928538	69.509014054	73.001376852
34	72.003873822	70.501351452	76.002492018
35	70.028106594	83.01017572	73.009137974
36	80.51304097	76.50268768	79.002651548
37	80.004549736	83.50264614	80.522731096
38	83.501317704	84.007752336	85.00414465
39	82.008551736	93.000908456	88.004381832
40	92.510755032	93.002309568	84.503359948
41	87.5052008	98.003589928	94.503127686
42	99.001265542	97.014191484	93.501680898
43	100.50468588	100.502535728	99.002756804
44	101.507343842	99.50580079	107.001708918
45	103.503255584	102.504609696	110.500880068
46	112.502099596	103.505044726	110.002556012
47	110.004550282	110.005019008	114.455687206
48	112.50300685	115.503760604	115.591968088
49	114.493319798	122.036019048	117.0105351
50	121.500655982	124.00645833	117.500407942
51	119.008441366	128.071437512	126.002621758
52	119.525754246	126.006490484	137.501848006
53	130.501897682	135.50240574	125.014547844
54	126.5132414	142.00300309	134.002704222
55	132.002137534	145.029329922	134.502328864
56	135.502186882	139.56145575	146.008304356
57	138.504304904	145.004609578	147.501298644
58	144.50175148	149.00206656	148.001320736
59	154.001255094	153.14314297	144.00215189
60	167.509499552	152.51069173	141.534114352
61	165.055100546	158.002940328	148.297820284
62	154.001752288	151.502590802	176.004294662
63	161.009343036	164.029399904	166.00237218
64	154.50979938	167.200659696	180.016020094
65	170.512512738	168.005842542	175.011785526
66	178.003052964	163.23659099	182.006310526
67	183.003052766	171.00864853	179.06522252
68	187.008503082	183.00193308	173.508533242
69	195.005385138	186.006082996	173.00517947
70	176.00589236	191.018999428	199.009673982
71	186.546997878	190.54578313	199.120162452
72	190.003115688	206.00112698	190.507430866
73	187.638264672	209.03748368	198.017847954
74	198.507273318	206.02316774	204.00164
75	206.50351876	199.511653252	212.54577736
76	211.00745748	220.50489698	199.004054488
77	218.00563118	208.5198466	220.01704356
78	223.00710854	215.50527336	212.06656358
79	227.0633595	216.97564608	218.13892854
80	226.0023732	222.01500128	224.00125052
81	237.6359724	220.36138214	228.00180988
82	230.12927372	232.17894998	233.50278076
83	232.5094543	239.02273274	236.00672962
84	258.5373656	224.0336183	236.50343542
85	245.04601778	237.00187264	247.63759612
86	253.09794148	250.31992412	238.34004938
87	247.00206236	247.03069376	259.01289644
88	256.8823862	244.00254952	264.00433814
89	260.01842046	259.50340032	256.05364324
90	261.50723862	268.01165428	258.07315684
91	268.02969164	271.42756782	259.01721958
92	262.26088696	268.5705356	278.54375552
93	284.01394928	280.5529574	257.55610408
94	283.0075778	269.57970372	278.67430068
95	281.00885014	275.10385286	289.00548722
96	294.01663172	287.00411372	276.51242752
97	280.6809879	291.20725644	295.51654472
98	307.45292286	283.0094379	289.58558082
99	298.0754484	282.49870878	313.02373226
100	312.52599238	297.63193482	294.00420634
