N	Lx	Ly	Lz
1	2	2	2
2	4	2	2
3	3.7321332918	2.0000427288	4.0000517876
4	4.0001065842	2.0000586348	4.0001146282
5	3.7320776546	4.0000927354	3.6330356458
6	3.7320966376	3.732068175	4.0001467518
7	4.000040538	3.984141237	3.9841906824
8	4.0000837346	4.0000718766	4.0001873848
9	4.0001052858	4.0002351746	4.8284317494
10	3.7321109208	3.7322306564	6.0001702872
11	3.984268051	4.000062539	5.9681543936
12	4.0001291458	6.0001569422	4.000221206
13	4.8286146966	4.828579201	4.8286565728
14	4.8287025974	4.828477956	4.8286827032
15	3.7322456238	5.4644115884	6.0001810454
16	5.4643927856	4.0002815052	6.0002542246
17	5.9684158882	4.0005869532	5.9684685808
18	4.82866572	6.2427899972	4.828791215
19	5.4700794546	5.4702806522	5.431779206
20	5.9560278994	5.420626175	5.4085324052
21	5.4643961996	6.000207813	5.2662906786
22	4.828695445	6.0004823278	6.000612762
23	5.4643539454	5.464465961	6.000387403
24	6.0001983912	5.7165500024	5.7163435806
25	5.8957268958	5.8955740214	6.0004394576
26	5.4643513342	6.9751992922	5.4645398066
27	5.4644357666	5.4645615714	7.0003450452
28	6.998540493	5.4646003402	6.0005964198
29	5.6568404124	6.985230248	6.0007607066
30	5.4645383164	7.1964560538	6.000623077
31	6.243132986	6.2430439478	6.2432694972
32	6.2431213564	6.2432937564	6.2430409842
33	6.2433311372	6.7690838332	6.2429995768
34	6.6421055632	6.641820245	6.362849258
35	7.0002944172	7.1963877624	5.4643222934
36	5.4644193948	7.1968290388	7.0006316108
37	6.705606452	6.7133961122	6.7105136872
38	6.7143699496	6.7145987938	6.7146477272
39	6.2431940502	7.6573194848	6.2436620326
40	7.6575935136	6.243470377	6.2430916094
41	7.6588035848	6.2466907902	6.770894698
42	6.348783322	6.7048906574	7.8507705132
43	7.4643734048	7.464521101	6.0009313254
44	6.8785297368	7.3115741904	6.878889456
45	7.2269799692	7.0567542858	7.0721904778
46	7.1487450954	7.1485885306	7.0814413278
47	7.1967280236	7.0004558282	7.1967079828
48	7.0012774904	7.1967178474	7.1967151232
49	7.6576246386	7.6577533338	6.2434092052
50	7.6573809494	7.6578104342	6.2436068224
51	7.6572777388	7.6579464866	6.7651371806
52	7.1968198552	6.9991501596	8.0012846884
53	7.1968847102	8.0010243124	6.9992535584
54	6.98585954	8.0011057838	7.3895863026
55	7.1968212866	8.0006862224	7.196934505
56	7.1969841838	7.1970245736	8.0011389214
57	8.0010857198	7.412391092	7.412186423
58	7.4148287382	7.4154631464	8.001203065
59	8.001108977	7.4645040488	7.4644977522
60	9.0719861196	6.2438831782	7.6580483956
61	7.6579383646	7.6576323848	7.6580403246
62	7.6578063852	7.658244311	7.6576726946
63	7.6578822938	7.6580516108	7.6578253878
64	7.7495445634	7.7497026336	8.089264313
65	8.1825821688	7.5523457882	7.9924808436
66	7.9450427392	7.9570555782	7.9572868224
67	8.587092384	7.4624306054	8.00175443
68	7.9946889678	7.806188674	8.3789640648
69	7.1974031268	8.001397902	8.9294219568
70	7.1975751728	8.9290669014	8.0015057866
71	8.1291476976	8.129010018	8.1285232772
72	8.129417448	8.129280584	8.1294845998
73	7.6584779018	9.0719675504	7.6584372092
74	7.6580430386	7.658073217	9.0725544074
75	7.6581694456	7.6583962882	9.0720753422
76	7.919378256	7.9196448424	9.049638832
77	7.766984306	7.769269696	9.5084236944
78	7.852188735	9.4193659196	7.8678404374
79	7.9521846926	9.3329283878	7.9527700352
80	8.2861173414	8.2857489078	8.8710806876
81	8.2265432498	9.268406554	8.2038260602
82	8.1539644806	8.161241978	9.372557045
83	8.1370559428	9.4950326764	8.1376752794
84	8.1305763166	8.1297268076	9.5402824076
85	8.7322613958	8.0022984636	8.929786207
86	8.1297978104	9.5440363704	8.1294459864
87	8.600954872	8.6015379764	8.6010798886
88	8.9292072726	8.929408928	8.002446123
89	9.0727146616	7.6588111426	9.0726198796
90	9.0729659894	7.658611131	9.0724022018
91	9.3263671346	9.3401425366	7.6752697766
92	9.072176535	9.0739663864	8.2173610678
93	9.6410400832	8.935668736	7.9970461838
94	9.0739556288	8.484029158	9.070836883
95	8.7318628446	8.9296171648	9.0018307658
96	8.7317505022	8.9295836708	9.0018599878
97	8.8854418612	9.0754765468	8.8846347718
98	8.9292800496	8.9291650174	8.9990162648
99	8.9293056722	9.002107453	8.9296681504
100	8.9298473938	8.9298663108	9.0020711572
