N	V
1	8
2	16
3	29.858090777418667
4	32.002707932318806
5	54.23634198628813
6	55.71580037235312
7	63.49495705840497
8	64.00548807671207
9	77.26148366917371
10	83.5769646974017
11	95.116394593223
12	96.01091990975137
13	112.58181075096482
14	112.58210880096581
15	122.3708497598479
16	131.16021350764686
17	142.51011944804148
18	145.56075342021606
19	162.53442199876534
20	174.61663606587388
21	172.6685728760112
22	173.8647645779061
23	179.1702245678196
24	196.07306643718425
25	208.56744091727327
26	208.28060444436298
27	209.03552320379447
28	229.48817016778239
29	237.11605535455436
30	235.9763617857574
31	243.33863091127455
32	243.33900763869585
33	263.8393498551563
34	280.7013657552947
35	275.27525205428
36	275.3102843019374
37	302.0898270892023
38	302.72519497630964
39	298.4853278472619
40	298.4819492666924
41	323.93434812271715
42	334.1907982823387
43	334.3597282785289
44	345.9591653247496
45	360.67479685350327
46	361.8859921605967
47	362.5728587183916
48	362.61526190153523
49	366.11476825345613
50	366.11743524906296
51	396.70103579188753
52	403.03769454463355
53	403.0341648431838
54	413.03797919740094
55	414.3959544753102
56	414.4339687789573
57	439.59584855668396
58	439.9412637541647
59	445.81198038693753
60	433.78572137947924
61	449.080325801693
62	449.08691208612873
63	449.08901806532435
64	485.81424432117365
65	493.916853336985
66	503.0528825374569
67	512.7570730358258
68	522.9148122640823
69	514.2390373728019
70	514.2378153027328
71	537.1484498895755
72	537.247683458377
73	532.0887879210815
74	532.0677038011951
75	532.0708362212051
76	567.5812496251771
77	573.7743777749148
78	581.9262417034885
79	590.2320877617033
80	609.059016431253
81	625.5166938710446
82	623.7106537588426
83	628.7299105608073
84	630.6066018343656
85	623.9970467638019
86	630.7725425530111
87	636.3202754110007
88	638.0553807269589
89	630.4219533643021
90	630.4078272995995
91	668.5896677424923
92	676.4582983773795
93	688.9386549050956
94	698.3066228408226
95	701.8924798634587
96	701.8830952341241
97	716.453564900287
98	717.5007012390687
99	717.7896675130966
100	717.8462495510009
