N	Lx	Ly	Lz
1	2	2	2
2	5.6457950984	4.0001484278	4.0001435314
3	9.79569715	6.0006319594	6.0001179258
4	8.0013387978	13.8550351242	8.5653050168
5	16.8719430282	10.0002906484	13.245820063
6	19.8688045148	17.4287098344	12.000050324
7	23.602815534	14.0003521512	21.47252341
8	25.52397716	27.67483762	16.0001355136
9	29.246126256	31.594673494	19.5915787236
10	26.575899074	31.00966948	33.69741428
11	35.089008504	29.380542208	37.552434134
12	40.932967208	39.183722704	33.180345184
13	37.016015486	43.261125096	44.161909146
14	40.850615066	47.30906158	47.323740114
15	50.374242868	51.37737807	44.70718643
16	53.535437038	55.381695408	48.75565873
17	58.000552728	55.36774118	57.243886974
18	60.92759873	58.779554944	64.22089754
19	67.696400574	65.206852756	63.163574088
20	72.311362124	69.279396238	67.578817678
21	78.497476244	79.856857854	65.029620806
22	70.489013612	83.90686492	82.044763002
23	74.233968274	89.983433446	85.937446916
24	93.964982372	78.852860798	91.59264613
25	82.85721819	100.18300798	96.397329496
26	96.394699238	103.28862181	93.46367217
27	107.6800715	98.482316578	101.824948584
28	108.422441256	103.81077919	109.981913286
29	112.313198474	109.9545549	113.981801532
30	118.543205198	113.955635538	118.952080038
31	123.186616366	117.985338242	125.493694482
32	130.192136592	127.867262078	123.920830074
33	143.00976032	126.687918486	127.94095609
34	151.104471374	131.93949351	129.984720186
35	135.94077008	135.438173476	156.332284208
36	161.603959062	141.933602354	139.955011966
37	141.987860906	147.065404612	169.261941684
38	173.474043984	151.71110594	150.48088897
39	153.969623368	163.32954316	174.632450368
40	159.889724048	164.08679056	183.754612252
41	162.522255378	179.855309452	182.765549566
42	183.507204128	173.334691392	185.179057468
43	178.742682614	188.416063528	190.596354866
44	186.97915613	189.639429842	197.452563654
45	201.73853968	192.01019033	196.983462228
46	199.880204026	203.33456758	204.31047346
47	210.65897792	211.18505292	202.51261684
48	221.72255242	212.58656154	212.74449794
49	219.88049402	214.32046132	223.89744328
50	220.3201507	230.56256188	224.1451341
51	221.52375532	233.29107682	238.78052954
52	238.02113644	234.58697406	237.71407008
53	235.12112784	243.3622111	249.60077954
54	247.90585502	249.34802494	248.55414888
55	262.40041204	263.04885082	239.23414908
56	250.82446514	256.92888308	274.21019984
57	267.71495694	257.92403708	274.36092574
58	276.09922718	257.5156966	285.73319538
59	292.61492562	271.73054432	272.87735116
60	299.01723504	271.76047048	285.00601078
61	274.91710916	303.54246726	296.96381918
62	282.43310098	306.56241272	303.21801162
63	313.63572358	310.14904458	288.2799901
64	314.1394197	309.52670008	306.45718576
65	336.90800538	306.08149042	307.28329348
66	329.74908788	306.64252828	331.7135419
67	340.45805898	324.49898874	322.31104152
68	330.30199204	328.7776977	346.64428242
69	321.27482914	351.76046632	352.53021634
70	341.17256428	361.94469124	341.3757021
71	363.59176618	335.66721866	366.23107276
72	375.8452359	334.94067404	375.27875216
73	360.69264856	360.8883068	379.67595762
74	374.38655166	382.35450996	367.08109886
75	374.46869992	383.59632994	386.1160011
76	393.5457121	398.37929902	371.59581896
77	398.9028734	390.90874118	393.67849294
78	408.8946612	411.53470504	384.45471336
79	388.01383374	418.9217727	417.88361186
80	390.43319868	423.29449294	431.68696176
81	421.01539612	422.03619006	419.80782096
82	433.15149	418.59911498	432.70452178
83	434.13084124	436.14064134	434.78831464
84	444.88889476	434.97041614	444.3493617
85	443.88765398	445.78246858	456.15148914
86	459.47373256	457.51372268	448.89339882
87	463.59096462	467.44792132	461.5226653
88	466.23656664	468.35201936	471.16118354
89	470.16490324	477.59014344	479.62991878
90	488.80424088	481.89405136	477.31033194
91	487.61876036	483.6842697	496.1330859
92	493.737742	503.77948222	490.17999768
93	500.69769066	509.66666046	497.53941546
94	501.08454788	514.90194368	515.97149552
95	510.81376718	526.5223736	515.71544482
96	523.03351786	523.9424326	527.68573086
97	526.08874124	537.54274596	531.85948814
98	533.94528986	546.05154556	535.81565864
99	545.55868968	545.6835464	547.19038626
100	550.6745076	557.92527102	551.82439462
