n	R
1	1
2	2
3	2.1547004472
4	2.4142248189
5	2.70130379966336
6	3.0000169968
7	3.0000512522
8	3.3048067647
9	3.6132010872
10	3.81303309082399
13	4.2361618268
14	4.3286212414
15	4.5215330743
16	4.6156267782
17	4.7922370254
18	4.8639356182
19	4.8639909847
20	5.12232607078144
21	5.2525957786
22	5.4401991202
23	5.5467952913
24	5.6520711709
25	5.7529970046634
26	5.8285328815
27	5.9069106934
28	6.015445324
29	6.1390813918
30	6.19778124227362
31	6.3533147091
32	6.4299836946
33	6.4873022284
34	6.6118499348
35	6.69749102319274
36	6.7472967247
37	6.7594457323
38	6.9625822908
39	7.0589878026
40	7.12390303014033
41	7.260976796
42	7.3476981758
43	7.421040814
44	7.4989238715
45	7.57653750722512
46	7.6511130639
47	7.7250553908
48	7.792805985
49	7.8878993581
50	7.94751958132715
51	8.0284301942
52	8.0858673254
53	8.1824255582
54	8.2049445292
55	8.21162278396524
56	8.3851385189
57	8.4483028144
58	8.5256399139
59	8.5939079046
60	8.64631878508132
61	8.6627072705
62	8.8397614231
63	8.8942179502
64	8.963259552
65	9.0189877283
66	9.0981501204
67	9.1736233295
68	9.2313418551
69	9.2713558492
70	9.3480668849
71	9.4180687894
72	9.475929889
73	9.5529204473
74	9.5907978405
75	9.6772699199
76	9.731405272
77	9.8015326198
78	9.8608867254
79	9.9140535414
80	9.9699241196037
81	10.012558636
82	10.052735094
83	10.119195036
84	10.152511444
85	10.165242866
86	10.300957807
87	10.365683343
88	10.4346619
89	10.503046322
90	10.548651984
91	10.569403566
92	10.690731855
93	10.740848741
94	10.780192209
95	10.843155725
96	10.889080182
97	10.942009794
98	10.981959378
99	11.035903153
100	11.082974634698
101	11.15179525
102	11.202083642
103	11.272891813
104	11.323372837
105	11.365938362
106	11.425113418
107	11.478957655
108	11.537798701
109	11.583690337
110	11.620224806
111	11.674259624
112	11.714588822
113	11.766842013
114	11.80307699
115	11.842691882
116	11.900978512
117	11.949307206
118	11.989147558
119	12.046120226
120	12.088824966
121	12.128146931
122	12.207810574
123	12.279594192
124	12.32664816
125	12.372911823
126	12.421600546
127	12.466273356
128	12.505929698
129	12.562038951
130	12.609520826
131	12.656578768
132	12.691261916
133	12.741469524
134	12.781336483
135	12.819944861
136	12.87096253
137	12.919092795
138	12.965867084
139	13.017154296
140	13.066052411
141	13.114402166
142	13.163699908
143	13.202906076
144	13.252682346
145	13.303537104
146	13.347520426
147	13.363637619
148	13.393088798
149	13.441343697
150	13.466546119
151	13.481017273
152	13.538253914
153	13.599267352
154	13.646664628
155	13.691224083
156	13.730447339
157	13.780478677
158	13.831363605
159	13.869388735
160	13.924388593
161	13.975802623
162	14.016214274
163	14.07594877
164	14.11898861
165	14.153556838
166	14.19332884
167	14.23115427
168	14.269767308
169	14.304038754
170	14.338857528
171	14.373004348
172	14.423274463
173	14.456906454
174	14.49939389
175	14.543021812
176	14.580966829
177	14.622969722
178	14.664963753
179	14.709502061
180	14.748176787
181	14.787720355
182	14.83662485
183	14.875612117
184	14.916283772
185	14.953249088
186	15.002237588
187	15.040127054
188	15.0567593
189	15.085477379
190	15.111083821
191	15.152854116
192	15.176361415
193	15.206169156
194	15.262377075
195	15.296069923
196	15.330333905
197	15.378059302
198	15.402303525
199	15.409842501
200	15.4700704132752
201	15.534658072
202	15.583633229
203	15.621355263
204	15.656527081
205	15.705693795
206	15.748042575
207	15.797848856
208	15.825316261
209	15.859656214
210	15.893510706
211	15.909558765
212	15.943553191
213	15.996423956
214	16.026992227
215	16.065113976
216	16.095192668
217	16.131157863
218	16.161837879
219	16.19086821
220	16.234295679
221	16.271487487
222	16.312468699
223	16.346787454
224	16.379073613
225	16.417135047
226	16.464300716
227	16.501644998
228	16.538789666
229	16.576569865
230	16.606305676
231	16.642685522
232	16.683294712
233	16.719005876
234	16.762198476
235	16.800795044
236	16.820880663
237	16.820901271
238	16.837840348
239	16.874059257
240	16.905720803
241	16.941742069
242	16.974793465
243	17.014329929
244	17.049132605
245	17.09000282
246	17.123821121
247	17.14252572
248	17.196643285
249	17.232445574
250	17.277447527
251	17.307540748
252	17.339692898
253	17.358182737
254	17.409719747
255	17.462964278
256	17.503719711
257	17.5439207
258	17.575723006
259	17.59551117
260	17.62018563
261	17.650777104
262	17.678681523
263	17.712104433
264	17.719003415
265	17.76481092
266	17.792162028
267	17.817326725
268	17.843856998
269	17.883733888
270	17.910154189
271	17.942377197
272	17.986691958
273	18.009435143
274	18.045695235
275	18.075190945
