N	R
1	1
2	3
3	5
4	7
5	9.0014
6	11.05704273685855
7	13.462139465273305
8	16.22174894664752
9	19.233244681052497
10	22.000229154577262
11	24.960637812945986
12	28.37143105500407
13	31.545874559601188
14	35.095658664138256
15	38.83800238425067
16	42.45812289658984
17	46.306710891283835
18	50.11977132214983
19	54.24030424229117
20	58.4005828165017
21	62.560090765659446
22	66.80900865899514
23	71.37615314229477
24	75.74914260499983
25	80.42196198015223
26	84.98993917742655
27	89.75096272219412
28	94.52653650403816
29	99.48311161835731
30	104.5411690603284
31	109.68245644826668
32	114.84094905087915
33	120.06584650812634
34	125.3669392
35	130.9176279832207
36	136.4922446850441
37	142.05137546798844
38	147.45684537070173
39	153.3800827403416
40	159.18240785937894
41	165.036900609155
42	170.89532743001308
43	177.05137478785895
44	183.0992248628201
45	189.20293203293502
46	195.52643519050116
47	201.72792564975768
48	208.09015937691976
49	214.29544759133773
50	220.5654026547468
51	227.86064381
52	234.44586271
53	241.13971218
54	247.92968024
55	254.72730965
56	261.64612127
57	268.42843594
58	275.47725297
59	282.34034529
60	289.374338214688
61	296.72730127
62	303.78475614
63	310.93071089
64	318.54851441
65	325.57820411
66	333.25251601
67	340.73492274
68	348.19849581
69	355.61363929
70	363.5450457
71	371.36230952
72	378.96258605
73	386.78561488
74	394.67607019
75	402.35564425
76	410.20593944
77	418.55919463
78	426.40431689
79	434.77659775
80	442.72762126
81	450.91492902
82	459.39802426
83	467.6895722
84	475.81098169
85	484.48883393
86	492.73057929
87	501.36999943
88	509.92684563
89	518.37512262
90	526.91696331
91	535.63546788
92	544.46606501
93	553.29948196
94	562.29668045
95	570.98619154
96	579.96724862
97	589.11168811
98	598.09831168
99	607.22590413
100	615.937374476143
101	625.42638216
102	635.01855623
103	644.03758537
104	653.2615706
105	662.77094725
106	672.40478609
107	681.79290586
108	691.03831614
109	700.28758668
110	710.12021801
111	719.62187014
112	728.99750935
113	739.28536486
114	748.93280367
115	758.55244009
116	768.07311379
117	778.0976027
118	787.97093513
119	797.88390013
120	808.33324415
121	818.26284171
122	828.18477243
123	837.92255888
124	848.28497264
125	858.59560429
126	868.76194137
127	878.93725204
128	889.42710457
129	899.39905801
130	910.02951985
131	920.38252705
132	931.02030839
133	941.59588603
134	951.51229975
135	962.64714786
136	973.57135526
137	983.67839312
138	994.61398893
139	1005.1517583
140	1016.2611578
141	1027.0321434
142	1038.0523884
143	1048.1029064
144	1059.6320272
145	1070.3273967
146	1081.8749217
147	1092.2467284
148	1103.6482453
149	1114.5854476
150	1125.9938489
151	1136.4749704
152	1148.411469
153	1159.3096079
154	1170.0301207
155	1182.3387295
156	1193.2413774
157	1205.2664501
158	1216.537458
159	1227.0469648
160	1238.9639982
161	1251.077065
162	1262.8223585
163	1273.8988302
164	1286.0431999
165	1297.5316474
166	1309.1673149
167	1321.0772431
168	1332.8184306
169	1344.5556959
170	1356.2028546
171	1368.3603579
172	1380.3693012
173	1391.9130758
174	1403.5905857
175	1416.0134182
176	1428.5429797
177	1440.6528427
178	1452.7817572
179	1464.8412705
180	1476.6103399
181	1489.0421755
182	1501.1136274
183	1514.0484734
184	1525.9135603
185	1537.4112194
186	1550.8351735
187	1563.0562435
188	1575.835452
189	1588.3750375
190	1600.9890915
200	1726.24032144567
