n	R
5	4.5215034239
6	5.3510189474
7	6.049416305
8	6.7742865779
9	7.5590659422
10	8.3035353261
11	9.0721888212
12	9.8654476607
13	10.588432011
14	11.365259249
15	12.067122285
16	12.819538603
17	13.582293427
18	14.325186676
19	15.035525032
20	15.802573192
21	16.559522568
22	17.294309597
23	18.05032366
24	18.799161197
25	19.550947799
26	20.29054305
27	21.062181595
28	21.797556794
29	22.54782564
30	23.259151156
31	24.037701415
32	24.782455937
33	25.545213535
34	26.304989049
35	27.034362943
36	27.780321223
37	28.523748411
38	29.28065936
39	30.025896931
40	30.759060693
41	31.508209083
42	32.273293074
43	33.011253142
44	33.761893537
45	34.523456773
46	35.244852061
47	35.993293411
48	36.760797857
49	37.468315491
50	38.25627442
51	38.988732963
52	39.7437347
53	40.490491271
54	41.236742532
55	41.98354906
56	42.730440967
57	43.50177325
58	44.222697818
59	44.98318142
60	45.706834947
61	46.472458551
62	47.191209256
63	47.961415156
64	48.706031864
65	49.423201436
66	50.188331949
67	50.904800968
68	51.649877345
69	52.444092083
70	53.181559994
71	53.935878841
72	54.657618341
73	55.429450382
74	56.180918887
75	56.882927414
76	57.654003251
77	58.422765154
78	59.148885528
79	59.869686807
80	60.6346119
81	61.381774941
82	62.106411946
83	62.883381965
84	63.621973313
85	64.37416975
86	65.105164204
87	65.856660526
88	66.523421813
89	67.34299055
90	68.084542124
91	68.839156078
92	69.587755288
93	70.317154805
94	71.031601742
95	71.825992071
96	72.547367983
97	73.303438082
98	74.065440273
99	74.802376238
100	75.548398493
