N	A
1	4
2	7.99997629495892
3	14.927870073135407
4	16.000132106352822
5	21.856648070604024
6	24.00039811044117
7	32.02669678043831
8	32.78556202074105
9	36.001042732937336
10	43.1784489874079
11	43.71488266017773
12	48.00140091815828
13	55.69671011019816
14	57.57118758008193
15	59.71526534713474
16	64.00319226202225
17	70.91703528173231
18	71.4294088265372
19	74.64489093171069
20	80.35800868409885
21	86.96932126867725
22	88.77607288065757
23	89.28800393738148
24	94.64610429297828
25	98.21614256351444
26	105.99905324665153
27	106.61061438866942
28	107.14646782559426
29	113.57919281780073
30	117.27231074930022
31	123.69625375582591
32	123.93723868826117
33	127.93406531901913
34	131.14926524837597
35	136.32760843804192
36	138.59556875519567
37	147.28916137656054
38	148.48156038320474
39	148.71927676400065
40	153.01192293741073
41	160.40470775822087
42	161.11415941328548
43	168.58640398984932
44	172.07633987140548
45	173.26828798572868
46	173.50892840612732
47	181.0133305842728
48	183.63623087963123
49	185.9045513164282
50	196.13126268330933
51	197.48851770998334
52	197.7586523471303
53	198.3035203637076
54	210.0066781478761
55	211.52037758611334
56	211.8892486891271
57	220.39928925650977
58	221.9885865919212
59	222.0205202524339
60	226.0175834735194
61	230.30573172066767
62	237.56841560846226
63	237.87506016211512
64	240.14649993268637
65	249.51468695985037
66	253.01386420157948
67	253.70722438223308
68	253.7342061527487
69	262.3178431599486
70	267.39501277884443
71	269.2874808197281
72	269.5937525312859
73	279.15672613044944
74	281.4231193281828
75	281.4718524335178
76	285.4253842144669
77	285.45648652444515
78	295.01146311529
79	298.89093508690024
80	299.0408848156507
81	301.3214796855638
82	311.2451922274451
83	315.84655123067773
84	316.605545171411
85	316.6350380167055
86	321.4631586072135
87	329.9047629836828
88	333.1111347473448
89	334.0963662962329
90	334.23305423068973
91	344.331775153839
92	346.7230005905474
93	347.7974041454231
94	347.82732927836116
95	351.8276959223777
96	357.18657619698746
97	365.03562468015355
98	367.11033386315756
99	367.1519789086746
100	369.4309931073564
