N	V
1	8
2	15.99995258991784
3	29.855740146270815
4	32.000264212705645
5	43.71329614120805
6	48.00079622088234
7	64.05339356087661
8	65.5711240414821
9	72.00208546587467
10	86.3568979748158
11	87.42976532035546
12	96.00280183631656
13	111.39342022039632
14	115.14237516016387
15	119.43053069426948
16	128.0063845240445
17	141.83407056346462
18	142.8588176530744
19	149.28978186342138
20	160.7160173681977
21	173.9386425373545
22	177.55214576131513
23	178.57600787476295
24	189.29220858595656
25	196.43228512702888
26	211.99810649330306
27	213.22122877733884
28	214.29293565118851
29	227.15838563560146
30	234.54462149860043
31	247.39250751165181
32	247.87447737652235
33	255.86813063803825
34	262.29853049675194
35	272.65521687608384
36	277.19113751039134
37	294.5783227531211
38	296.9631207664095
39	297.4385535280013
40	306.02384587482146
41	320.80941551644173
42	322.22831882657096
43	337.17280797969863
44	344.15267974281096
45	346.53657597145735
46	347.01785681225465
47	362.0266611685456
48	367.27246175926246
49	371.8091026328564
50	392.26252536661866
51	394.9770354199667
52	395.5173046942606
53	396.6070407274152
54	420.0133562957522
55	423.0407551722267
56	423.7784973782542
57	440.79857851301955
58	443.9771731838424
59	444.0410405048678
60	452.0351669470388
61	460.61146344133533
62	475.1368312169245
63	475.75012032423024
64	480.29299986537274
65	499.02937391970073
66	506.02772840315896
67	507.41444876446616
68	507.4684123054974
69	524.6356863198972
70	534.7900255576889
71	538.5749616394562
72	539.1875050625717
73	558.3134522608989
74	562.8462386563656
75	562.9437048670356
76	570.8507684289337
77	570.9129730488903
78	590.02292623058
79	597.7818701738005
80	598.0817696313014
81	602.6429593711276
82	622.4903844548902
83	631.6931024613555
84	633.211090342822
85	633.270076033411
86	642.926317214427
87	659.8095259673656
88	666.2222694946896
89	668.1927325924657
90	668.4661084613795
91	688.663550307678
92	693.4460011810947
93	695.5948082908462
94	695.6546585567223
95	703.6553918447554
96	714.3731523939749
97	730.0712493603071
98	734.2206677263151
99	734.3039578173492
100	738.8619862147128
