N	Hx	Hy
1	1	1
2	2.9137681295	2.0001346895
3	4.948917543	3.0000446713
4	4.9495915686	6.6852712907
5	8.26502475	6.9640554092
6	8.9716437639	9.870181609
7	10.977451645	12.700031623
8	13.003690356	15.085427975
9	16.01526968	16.985504706
10	19.418493478	18.986868737
11	21.166708212	22.872957762
12	26.492322051	23.381122944
13	27.12060661	28.690793777
14	31.885358029	29.85866896
15	31.924190462	36.281666001
16	36.933286505	37.864922729
17	40.619717246	40.880000122
18	44.167317687	44.230697844
19	50.127795958	45.760033722
20	51.847674151	51.22534274
21	52.058361338	58.708759035
22	56.883396222	61.626517208
23	63.956934793	62.263905491
24	66.055360663	68.092531479
25	70.053392554	72.208158035
26	75.929128234	74.73682108
27	83.637075447	75.938978607
28	85.711209506	82.356655225
29	88.908754385	87.939244618
30	93.301146485	92.30784934
31	95.07520586	99.890954863
32	104.28933069	99.770622976
33	108.96249338	104.18738323
34	111.10298509	111.56750743
35	116.70397701	115.85687543
36	121.55818686	120.4414263
37	126.67546348	125.54665034
38	130.44633259	131.66919262
39	135.28391608	136.97669662
40	138.71741512	144.00699089
41	145.64442238	147.66728649
42	154.09857198	150.00917306
43	160.69922939	153.458471
44	164.94446155	160.39353006
45	168.19720653	167.99024678
46	175.11531113	172.17598802
47	179.49570399	178.92920611
48	185.01252439	183.96900914
49	190.60084572	190.0461899
50	194.10931144	198.78489456
51	201.78045236	201.95496387
52	206.34522519	209.55348583
53	213.78235748	214.10621507
54	217.03385549	222.69799015
55	226.94564154	224.79975964
56	229.6468208	233.99187832
57	240.18438044	236.14609173
58	248.29626782	240.23518213
59	250.59342969	250.33675017
60	257.80724635	255.58667642
61	262.50335416	263.68644492
62	265.98172792	272.8812435
63	273.86564945	277.91792923
64	283.5002745	281.50337753
65	285.84976911	291.95421063
66	298.99485761	292.20390324
67	299.1607797	305.49992164
68	310.48025855	307.50795629
69	320.76156336	310.62260676
70	323.20755475	321.61105061
71	329.04071592	329.37116548
72	337.8974244	334.07061109
73	342.97877334	343.10882319
74	350.0004667	350.28645371
75	350.5767794	363.82433998
76	367.64589027	360.58198322
77	367.80443277	374.57925936
78	375.29550353	381.16621644
79	386.10148143	384.70884943
80	393.10160833	392.03931918
81	395.75212809	404.39043437
82	409.35035266	405.37161452
83	417.0423652	412.50200659
84	428.23614914	416.2422838
85	430.61083222	428.90330435
86	440.83678634	433.47988574
87	453.16952388	436.51062173
88	451.80147921	452.14037319
89	454.45012788	465.07986135
90	470.02398091	465.23358484
91	470.71813126	479.72597749
92	486.68980431	479.94051143
93	485.31824229	496.5419689
94	506.57008731	493.61307016
95	500.48433361	512.9906536
96	522.23298102	506.93691505
97	520.62263417	524.63997534
98	531.33762442	530.12526155
99	534.41886824	542.23603431
100	544.29692151	548.7017035
