N	Lx	Ly
1	2	2
2	5.827536259	4.000269379
3	9.897835086	6.0000893426
4	9.8991831372	13.3705425814
5	16.5300495	13.9281108184
6	17.9432875278	19.740363218
7	21.95490329	25.400063246
8	26.007380712	30.17085595
9	32.03053936	33.971009412
10	38.836986956	37.973737474
11	42.333416424	45.745915524
12	52.984644102	46.762245888
13	54.24121322	57.381587554
14	63.770716058	59.71733792
15	63.848380924	72.563332002
16	73.86657301	75.729845458
17	81.239434492	81.760000244
18	88.334635374	88.461395688
19	100.255591916	91.520067444
20	103.695348302	102.45068548
21	104.116722676	117.41751807
22	113.766792444	123.253034416
23	127.913869586	124.527810982
24	132.110721326	136.185062958
25	140.106785108	144.41631607
26	151.858256468	149.47364216
27	167.274150894	151.877957214
28	171.422419012	164.71331045
29	177.81750877	175.878489236
30	186.60229297	184.61569868
31	190.15041172	199.781909726
32	208.57866138	199.541245952
33	217.92498676	208.37476646
34	222.20597018	223.13501486
35	233.40795402	231.71375086
36	243.11637372	240.8828526
37	253.35092696	251.09330068
38	260.89266518	263.33838524
39	270.56783216	273.95339324
40	277.43483024	288.01398178
41	291.28884476	295.33457298
42	308.19714396	300.01834612
43	321.39845878	306.916942
44	329.8889231	320.78706012
45	336.39441306	335.98049356
46	350.23062226	344.35197604
47	358.99140798	357.85841222
48	370.02504878	367.93801828
49	381.20169144	380.0923798
50	388.21862288	397.56978912
51	403.56090472	403.90992774
52	412.69045038	419.10697166
53	427.56471496	428.21243014
54	434.06771098	445.3959803
55	453.89128308	449.59951928
56	459.2936416	467.98375664
57	480.36876088	472.29218346
58	496.59253564	480.47036426
59	501.18685938	500.67350034
60	515.6144927	511.17335284
61	525.00670832	527.37288984
62	531.96345584	545.762487
63	547.7312989	555.83585846
64	567.000549	563.00675506
65	571.69953822	583.90842126
66	597.98971522	584.40780648
67	598.3215594	610.99984328
68	620.9605171	615.01591258
69	641.52312672	621.24521352
70	646.4151095	643.22210122
71	658.08143184	658.74233096
72	675.7948488	668.14122218
73	685.95754668	686.21764638
74	700.0009334	700.57290742
75	701.1535588	727.64867996
76	735.29178054	721.16396644
77	735.60886554	749.15851872
78	750.59100706	762.33243288
79	772.20296286	769.41769886
80	786.20321666	784.07863836
81	791.50425618	808.78086874
82	818.70070532	810.74322904
83	834.0847304	825.00401318
84	856.47229828	832.4845676
85	861.22166444	857.8066087
86	881.67357268	866.95977148
87	906.33904776	873.02124346
88	903.60295842	904.28074638
89	908.90025576	930.1597227
90	940.04796182	930.46716968
91	941.43626252	959.45195498
92	973.37960862	959.88102286
93	970.63648458	993.0839378
94	1013.14017462	987.22614032
95	1000.96866722	1025.9813072
96	1044.46596204	1013.8738301
97	1041.24526834	1049.27995068
98	1062.67524884	1060.2505231
99	1068.83773648	1084.47206862
100	1088.59384302	1097.403407
