N	V
1	8
2	46.62342970377983
3	118.77578962864192
4	264.71489931401885
5	460.46472253927504
6	708.4140262475624
7	1115.311864251627
8	1569.329874197121
9	2176.2195081399927
10	2949.5710938966126
11	3873.161783149236
12	4955.361911571786
13	6224.893850837224
14	7616.434800471912
15	9266.10252555675
16	11187.808317118746
17	13284.272367776684
18	15628.410265549232
19	18350.797067580923
20	21247.319029254508
21	24450.254332396817
22	28044.204768996522
23	31857.668347563216
24	35983.01380241621
25	40467.411523416995
26	45397.61337267868
27	50810.51266497422
28	56471.10824162708
29	62548.54960435356
30	68899.4253838932
31	75977.22477721355
32	83240.091941531
33	90820.13644382718
34	99163.86491619004
35	108167.66501306524
36	117125.13123088256
37	127229.440961448
38	137406.10633892234
39	148245.95144364564
40	159810.2202837615
41	172055.33316206426
42	184929.59481957348
43	197285.2642645413
44	211648.1956148035
45	226043.92186145062
46	241205.21368989965
47	256936.19052069008
48	272292.56632414705
49	289783.71616642975
50	308687.9920617168
51	326004.51172828843
52	345922.8897835266
53	366177.051270276
54	386664.0272970284
55	408138.6053563008
56	429883.9275936676
57	453748.82188397966
58	477195.99297549564
59	501861.9584203919
60	527136.7780127095
61	553748.6099042087
62	580651.3973047062
63	608897.3934589847
64	638450.278419457
65	667640.3495942224
66	698939.7155386402
67	731148.7580488904
68	763801.1982008102
69	797086.3436743689
70	831576.9699858928
71	867012.192743552
72	903052.7924403605
73	941432.3463986971
74	980803.3782175035
75	1.0203869230201525e6
76	1.0605318738899129e6
77	1.1021752961304921e6
78	1.1443997370197983e6
79	1.1882932534732304e6
80	1.2328902951860498e6
81	1.2803069998493358e6
82	1.3275121068969246e6
83	1.3762464998243167e6
84	1.425999941790008e6
85	1.4775232706244916e6
86	1.528751038181216e6
87	1.582506484943575e6
88	1.6342215153424274e6
89	1.6908448197193614e6
90	1.7493675327962162e6
91	1.806525725127757e6
92	1.8686572287064642e6
93	1.9278470045581106e6
94	2.000396928386467e6
95	2.0539502833212349e6
96	2.117913410685152e6
97	2.185115567619157e6
98	2.253403976936065e6
99	2.3182493421991686e6
100	2.389253184338742e6
