n	A
1	1.
2	9.000332818276831
3	25.00187739324473
4	81.01542653282982
5	144.0131763254021
6	121.01171636160845
7	323.9862434156245
8	441.0551436077116
9	676.0976392454194
10	841.1682516823274
11	1029.961211012693
12	1521.2603387911336
13	1936.2825820067903
14	2304.276471013363
15	2704.3620263407065
16	3136.4196211402023
17	3136.2801126547506
18	4900.549692375549
19	4489.677459073818
20	5929.694514445411
21	6400.5048115540885
22	8100.73961564291
23	7922.234033059557
24	10405.575897654928
25	11237.205214157178
26	13226.221986946524
27	13226.968047512151
28	15626.540079447645
29	16642.299241118475
30	17425.404457084333
31	19600.926466547957
32	21027.774103899937
33	25283.652370189073
34	28563.478504340404
35	29243.916762276447
36	33859.742865104046
37	33491.855395222774
38	36101.17238627847
39	41212.41910247762
40	41212.58636534578
41	44525.907936173644
42	54291.364015774714
43	57124.73932135495
44	61017.09680018357
45	60524.355629201906
46	65033.07940575249
47	68646.5425029825
48	71295.05409720802
49	78408.18376235379
50	85272.71764921832
51	90005.56488201933
52	95488.54704152806
53	105948.99121711889
54	104987.04233996841
55	112901.65423847441
56	114925.16754106265
57	127474.67000656422
58	133230.7526372982
59	134696.82784205113
60	142885.01051674667
61	151512.75482161713
62	163222.7102019267
63	169759.21620962798
64	180470.61015642047
65	183427.34003746812
66	191857.62964575255
67	208879.3084620819
68	217183.29746019866
69	215878.23188204612
70	231034.54333105017
71	238640.3189353481
72	257089.16736641034
73	267316.79356711847
74	280656.96594968205
75	275635.6757473736
76	298145.4693091977
77	308028.12177190965
78	321162.6164140491
79	339935.5101361535
80	349312.8500470081
81	369727.55950112763
82	381970.51597729325
83	385120.18212617224
84	392030.6218997019
85	401995.21616422816
86	420165.70749359863
87	447569.860493933
88	451643.94062571024
89	473491.0246585236
90	495754.10099303274
91	524225.3577477782
92	509829.99530623807
93	552592.3312630503
94	556542.5699724877
95	589898.9109172544
96	603763.3691882498
97	628936.7237992518
98	634999.385350546
99	649676.8316988605
100	684261.3455048281
