n	Lx	Ly
1	1.	1.
2	3.0000554692	3.0000554692
3	5.0001877358	5.0001877358
4	9.0008569888	9.0008569888
5	12.000549001	12.000549001
6	11.000532549	11.000532549
7	17.9996178686	17.9996178686
8	21.001312902	21.001312902
9	26.00187761	26.00187761
10	29.002900746	29.002900746
11	32.093008756	32.093008756
12	39.003337534	39.003337534
13	44.003211042	44.003211042
14	48.00287982	48.00287982
15	52.003480906	52.003480906
16	56.003746492	56.003746492
17	56.00250095	56.00250095
18	70.003926264	70.003926264
19	67.005055474	67.005055474
20	77.004509702	77.004509702
21	80.00315501	80.00315501
22	90.004108882	90.004108882
23	89.0069325	89.0069325
24	102.007724696	102.007724696
25	106.00568482	106.00568482
26	115.005312864	115.005312864
27	115.00855641	115.00855641
28	125.006160166	125.006160166
29	129.00503572	129.00503572
30	132.005319806	132.005319806
31	140.00330877	140.00330877
32	145.00956556	145.00956556
33	159.008340568	159.008340568
34	169.007332694	169.007332694
35	171.008528332	171.008528332
36	184.010170548	184.010170548
37	183.00780146	183.00780146
38	190.003085202	190.003085202
39	203.00842126	203.00842126
40	203.00883322	203.00883322
41	211.01162986	211.01162986
42	233.00507294	233.00507294
43	239.00782272	239.00782272
44	247.01638974	247.01638974
45	246.0169824	246.0169824
46	255.01584148	255.01584148
47	262.00485206	262.00485206
48	267.01133702	267.01133702
49	280.01461348	280.01461348
50	292.0149271	292.0149271
51	300.00927466	300.00927466
52	309.0122118	309.0122118
53	325.49806638	325.49806638
54	324.0170402	324.0170402
55	336.00841394	336.00841394
56	339.00614676	339.00614676
57	357.03595058	357.03595058
58	365.00788024	365.00788024
59	367.01066448	367.01066448
60	378.00133666	378.00133666
61	389.24639346	389.24639346
62	404.00830462	404.00830462
63	412.01846586	412.01846586
64	424.81832606	424.81832606
65	428.2841814	428.2841814
66	438.01555868	438.01555868
67	457.03315904	457.03315904
68	466.0292882	466.0292882
69	464.62698144	464.62698144
70	480.66052816	480.66052816
71	488.50825882	488.50825882
72	507.03961124	507.03961124
73	517.02687896	517.02687896
74	529.77067298	529.77067298
75	525.01016728	525.01016728
76	546.02698588	546.02698588
77	555.0028124	555.0028124
78	566.7121107	566.7121107
79	583.03988726	583.03988726
80	591.02694528	591.02694528
81	608.05226708	608.05226708
82	618.03763314	618.03763314
83	620.58052026	620.58052026
84	626.12348774	626.12348774
85	634.03092682	634.03092682
86	648.20190334	648.20190334
87	669.00662216	669.00662216
88	672.0445972	672.0445972
89	688.10684102	688.10684102
90	704.09807626	704.09807626
91	724.03408604	724.03408604
92	714.02380584	714.02380584
93	743.3655435	743.3655435
94	746.01780808	746.01780808
95	768.04876858	768.04876858
96	777.02211628	777.02211628
97	793.05530942	793.05530942
98	796.86848686	796.86848686
99	806.02532944	806.02532944
100	827.20091	827.20091
