n	A
1	4
2	4.000719234728255
3	36.00128325783557
4	64.00260939939699
5	169.02775629036864
6	256.01189442295816
7	324.04994135474163
8	484.05123662791584
9	576.0833623119603
10	784.0760268830506
11	1024.1697318328388
12	1521.1426453763047
13	1521.2541516199844
14	1849.3540548673834
15	2809.19284232562
16	2704.4878217276832
17	3364.52624738727
18	4761.493842769504
19	4624.6299155154775
20	6084.353371338985
21	6084.220488653632
22	8281.944451135216
23	8100.590114467605
24	10000.661018923289
25	11450.10032113168
26	13457.196911367137
27	13457.22579434712
28	15130.057976919537
29	16641.502310698517
30	17956.566928994875
31	20449.94505787879
32	22501.90858107252
33	24964.775626128543
34	29242.370985313533
35	28563.00629574832
36	30978.813178172895
37	34597.456318693614
38	40804.70549208942
39	43683.054234991134
40	44101.53355933199
41	50627.229909555004
42	51988.41809546897
43	54291.85599312047
44	58083.13308166452
45	67082.97764533575
46	67082.14360383403
47	69699.38936824589
48	76731.37134884165
49	84682.64423946143
50	88212.9774688364
51	96725.14694332944
52	101124.4956354073
53	103690.5411210018
54	108902.50874044835
55	111558.77299211212
56	125921.10129331719
57	131748.60633109463
58	133233.84343975142
59	137972.93190331693
60	153667.98279284703
61	159221.26165715887
62	158411.39524471154
63	176415.33034986322
64	179786.10156877717
65	196254.7588118866
66	204306.67404074976
67	218090.5524975629
68	212528.0774046822
69	236200.14137967324
70	241087.87043518847
71	241083.27897206586
72	263182.5626430161
73	258067.05885994417
74	272486.81369166356
75	297052.77749000065
76	298122.3193719687
77	305821.1253972713
78	322652.8170556223
79	337976.6035464844
80	345705.1053172918
81	363617.0182799241
82	388154.8255738253
83	401836.955762851
84	414739.73041702836
85	413470.38319003244
86	431661.2512184884
87	434402.50909262116
88	448923.9624677731
89	474727.3786731868
90	505314.599655941
91	495614.0334483508
92	553541.3327965242
93	562507.7945970024
94	567011.0129213864
95	608463.2682247485
96	600752.2306131131
97	632032.8149059574
98	625688.1390801242
99	650154.6976951177
100	683227.4000307474
