n	Lx	Ly
1	2	2
2	5.5003636688	5.5003636688
3	6.0001143568	6.0001143568
4	8.0002533764	8.0002533764
5	13.0000446298	13.0000446298
6	17.500237284	17.500237284
7	22.000598234	22.000598234
8	22.500725058	22.500725058
9	31.000172816	31.000172816
10	36.002869288	36.002869288
11	42.00144386	42.00144386
12	46.00020783	46.00020783
13	51.00279872	51.00279872
14	54.002461392	54.002461392
15	60.500476106	60.500476106
16	69.501430938	69.501430938
17	73.00127682	73.00127682
18	83.00332377	83.00332377
19	86.001083552	86.001083552
20	91.502610128	91.502610128
21	103.501418492	103.501418492
22	104.499910068	104.499910068
23	119.000910198	119.000910198
24	123.003676366	123.003676366
25	129.002961732	129.002961732
26	144.001191118	144.001191118
27	148.001170082	148.001170082
28	153.501885372	153.501885372
29	158.005593578	158.005593578
30	173.000343772	173.000343772
31	181.503112428	181.503112428
32	180.004176654	180.004176654
33	191.003415948	191.003415948
34	202.00198362	202.00198362
35	208.51348884	208.51348884
36	215.50122386	215.50122386
37	235.50142874	235.50142874
38	247.50069646	247.50069646
39	251.00371502	251.00371502
40	255.501062	255.501062
41	268.50028898	268.50028898
42	280.50292688	280.50292688
43	296.00088716	296.00088716
44	302.0012041	302.0012041
45	304.50730052	304.50730052
46	313.50130078	313.50130078
47	327.00030034	327.00030034
48	331.00895254	331.00895254
49	357.0014386	357.0014386
50	371.50301864	371.50301864
51	374.50132894	374.50132894
52	381.50839358	381.50839358
53	388.50564826	388.50564826
54	405.50378902	405.50378902
55	416.5021043	416.5021043
56	423.00476724	423.00476724
57	435.00199948	435.00199948
58	454.00455436	454.00455436
59	460.50252512	460.50252512
60	478.01013202	478.01013202
61	485.50995508	485.50995508
62	492.50138126	492.50138126
63	504.50121592	504.50121592
64	523.88440742	523.88440742
65	549.00090584	549.00090584
66	541.50684368	541.50684368
67	549.0051806	549.0051806
68	574.99631468	574.99631468
69	583.5041492	583.5041492
70	597.50504104	597.50504104
71	606.0078523	606.0078523
72	627.51353428	627.51353428
73	624.00302466	624.00302466
74	647.00437098	647.00437098
75	659.5016258	659.5016258
76	678.00189494	678.00189494
77	683.50049612	683.50049612
78	700.83486158	700.83486158
79	709.0082102	709.0082102
80	731.50084718	731.50084718
81	744.50519112	744.50519112
82	755.5231883	755.5231883
83	762.5016665	762.5016665
84	780.00676274	780.00676274
85	796.50438762	796.50438762
86	802.50984076	802.50984076
87	823.50708918	823.50708918
88	844.00926528	844.00926528
89	850.0073221	850.0073221
90	864.50251456	864.50251456
91	876.55412142	876.55412142
92	899.50310974	899.50310974
93	902.01063626	902.01063626
94	920.50431454	920.50431454
95	937.0038576	937.0038576
96	963.01507374	963.01507374
97	967.0093264	967.0093264
98	989.49261786	989.49261786
99	997.6044504	997.6044504
100	999.50192582	999.50192582
