n	Lx	Ly
1	1.	1.
2	2.9998423794	3.0001173314
3	4.9997936842	5.000045271
4	6.0001693148	9.0001952306
5	13.0000421066	7.9999747538
6	16.0000613902	11.0003105254
7	15.000713255	17.9987581464
8	21.001301974	18.0007542378
9	26.000661886	21.001061948
10	29.00052395	25.001265474
11	35.999286768	28.00120747
12	38.002358732	33.0013021
13	43.001200258	37.001597156
14	49.00234969	40.001282824
15	54.001448992	45.000953992
16	50.00204895	58.002687696
17	64.002234274	55.000198142
18	62.000198942	67.005250874
19	73.003139426	67.002010088
20	77.001475614	74.00250028
21	77.001620524	86.001876878
22	82.002042504	93.00049495
23	96.003175292	90.001233386
24	100.000387808	100.000587616
25	111.00209598	100.000872352
26	107.00146753	116.999049136
27	111.004116602	125.003659646
28	139.002330084	112.002791828
29	138.001295648	124.002366096
30	130.00062078	147.002280692
31	160.004979646	132.003126762
32	156.000021486	148.003753856
33	174.001739594	145.004423838
34	160.004707812	173.00073744
35	177.003555578	171.999308728
36	177.002598254	186.00553966
37	189.003658234	189.003398904
38	189.001110034	202.00083072
39	220.00245038	190.001462614
40	200.00212132	225.00585824
41	220.00664448	220.00094764
42	235.0056233	221.00291976
43	256.0055729	219.00447628
44	238.99935	254.0027295
45	252.00660748	252.00414696
46	270.00434852	254.0038718
47	270.00054084	268.00324048
48	293.00223112	266.003195
49	276.00016912	300.0038418
50	287.99973082	308.00282038
51	280.00617534	332.0058072
52	305.0003196	328.00616882
53	304.00737962	342.00011732
54	334.0014045	334.00053134
55	317.00634082	369.00632302
56	346.00312412	357.00573132
57	400.004175	326.00654616
58	371.00321184	369.00176342
59	377.00089362	383.00449034
60	394.00422964	384.00423086
61	389.00041272	411.00003408
62	403.00037672	416.00124324
63	424.00379718	413.0084751
64	430.00337828	428.0034593
65	463.0005358	421.0057921
66	462.00136258	437.00525204
67	470.00282342	451.00075062
68	458.00050236	486.00445264
69	517.00080326	448.00425256
70	498.00228704	488.00084016
71	501.00169362	504.00068446
72	525.00303224	501.00040372
73	519.00519722	527.00606212
74	547.00148718	522.99910672
75	536.99994728	557.00074318
76	559.00568922	554.00535644
77	579.00039462	558.00451772
78	594.0020468	562.0070671
79	602.0057743	577.00628056
80	583.00360548	622.00541098
81	578.0065838	646.00335832
82	610.0008667	637.99884542
83	636.00264966	633.00278362
84	636.0003675	656.00199016
85	655.0088093	663.00627766
86	639.00077884	703.0042682
87	678.00440772	685.00258192
88	699.00260146	695.00261206
89	719.0003538	693.00301422
90	725.0030737	713.00238138
91	706.00434502	758.0017401
92	745.00089716	737.9997444
93	765.99829582	743.00032634
94	781.00104358	749.99991054
95	766.00277816	795.00050624
96	813.00051316	772.0019233
97	763.0052111	851.00183418
98	810.00455628	821.00033692
99	822.00035586	839.00072428
100	860.9996217	823.99998802
