n	A
1	4
2	10.001668847619591
3	30.00043931292797
4	64.0005767656397
5	117.00458384108587
6	192.0045231797257
7	288.01717619231397
8	416.02763205333787
9	594.0217771118989
10	800.0189569071923
11	1024.0884175077936
12	1360.013430804835
13	1672.1873800058652
14	2064.145823889953
15	2544.0722475575963
16	3068.1849946446764
17	3648.1846768873497
18	4346.9948931944655
19	5106.227221468117
20	5904.18580775727
21	6804.249201244858
22	7826.463726940492
23	8827.309572185457
24	10070.081709773029
25	11286.25563081383
26	12644.180986798076
27	14157.197832858443
28	15860.242277081165
29	17664.32947855523
30	19458.44173825421
31	21291.383840437175
32	23550.34290748329
33	25575.568386421124
34	28036.79829959764
35	30624.30640681431
36	33293.56043812503
37	36278.178943876126
38	38896.929621545074
39	42025.0164004926
40	45552.45124063581
41	49050.53694478507
42	52438.00545054717
43	56580.61483346984
44	60261.07926888189
45	64436.2531252447
46	68886.64348815483
47	73128.56688890049
48	78030.97139966294
49	83378.36646349057
50	88185.49440305248
51	93330.86379004667
52	100117.35106039463
53	105457.00438509865
54	111883.9354149593
55	117980.23052949162
56	124226.29436300197
57	130980.94486425251
58	138159.66526842082
59	144739.88603385424
60	151813.30079538593
61	159701.38476192646
62	168098.00437447024
63	175981.10029373076
64	184853.08966037535
65	193457.09439295452
66	201346.3295325232
67	213002.2144195309
68	222687.1539572851
69	232809.00840637516
70	242015.21823006295
71	253471.29605539085
72	265161.2257871801
73	273464.6270372085
74	285093.27090329863
75	299758.18484151934
76	307962.8340089881
77	325398.52628269955
78	337836.4610477394
79	346919.0058397426
80	361101.9015037524
81	373322.88389381376
82	391437.71623924334
83	405479.4553643531
84	419890.295052159
85	439532.48549703846
86	453561.9095140706
87	468511.8023875184
88	479348.4375137537
89	498765.0884751021
90	518006.15330695186
91	537889.6964973789
92	548311.5274898564
93	567671.8303578395
94	588599.8138476574
95	606700.8718315687
96	628749.9890913035
97	644135.5035297421
98	670736.4401097927
99	681434.2870287374
100	705161.0496056838
