n	Lx	Ly
1	2	2
2	2.0001662752	5.000418701
3	5.0000447904	6.0000341138
4	8.0000146064	8.0000574892
5	13.000385266	9.000085878
6	12.000213357	16.000092454
7	18.0003562048	16.0006375938
8	16.0010020044	26.00009874
9	22.000314398	27.000604008
10	25.000112684	32.000614038
11	32.001097356	32.001665634
12	40.000177978	34.000184488
13	38.002548736	44.001979752
14	43.001400714	48.001827606
15	53.000544156	48.000870332
16	52.001160724	59.002240564
17	64.002349392	57.00079312
18	62.999734796	69.000209402
19	74.002842514	69.000420092
20	72.001531206	82.000836772
21	81.001249104	84.001781164
22	91.002666974	86.002575388
23	91.002948548	97.000258926
24	106.0003314	95.000473836
25	114.001156682	99.001237876
26	108.999919848	116.00174573
27	121.000401352	117.001246894
28	130.000136662	122.001735416
29	128.00116095	138.00132239
30	141.00169568	138.001473276
31	141.000929602	151.00172673
32	157.001749106	150.000512998
33	155.002007984	165.001529458
34	172.002011736	163.002734774
35	173.999978852	176.00178235
36	168.999992492	197.003324954
37	187.00039505	194.00054708
38	187.00419843	208.00030132
39	206.00403918	204.000934
40	219.0003875	208.00169242
41	224.99992086	218.0024631
42	227.00297706	231.00139976
43	230.0025471	245.9999489
44	230.00381518	262.00034648
45	263.00057852	245.0042258
46	258.00202034	267.00040332
47	263.9995433	277.0026265
48	269.99997324	289.00362642
49	301.00133028	277.00331552
50	302.00169676	292.00330776
51	306.0017512	305.00107736
52	324.00239964	309.00188138
53	312.00210308	338.00094084
54	337.00029296	331.99951974
55	346.9999876	340.0006765
56	358.0008207	347.00002676
57	370.00195768	354.00068066
58	387.00186302	357.00000044
59	374.0052808	386.99957852
60	407.00256028	373.00330664
61	427.00234358	374.00587412
62	412.00104062	408.00383446
63	421.0018898	418.00548776
64	437.0015551	423.00327654
65	452.00282792	427.99974346
66	484.00207244	416.0030318
67	483.00016284	440.99822486
68	462.00170452	482.00504842
69	482.00481656	483.00141494
70	498.99863204	485.00176692
71	509.99966862	497.00286422
72	506.99992394	523.0005238
73	514.99896746	531.00034042
74	526.00002452	542.0023909
75	547.99964936	547.00433694
76	547.00245488	563.00082616
77	561.99999954	579.00093692
78	599.00005484	564.00071806
79	591.00219684	587.001212
80	575.00284356	628.0002013
81	610.00263086	612.0020882
82	605.00188564	647.0024731
83	653.99990106	619.99926102
84	644.0034281	652.00009306
85	669.00049516	656.99874466
86	680.0007623	667.00206038
87	679.00051554	690.00213058
88	706.99950392	678.00392342
89	726.00383338	687.00062664
90	700.0052758	740.00321314
91	721.99985862	744.99972552
92	746.00011168	735.00193754
93	762.9996119	744.0001561
94	733.0018926	802.99903696
95	791.00371208	767.0012954
96	803.00009054	783.00114346
97	777.00300678	829.00001404
98	823.99986866	814.00066386
99	830.00561472	820.99961126
100	819.001263	861.0011748
