n	Hx	Hy
1	1	1
2	2.0000114016	0.37485558324
3	0.62484797414	3.0000716116
4	1.1244418587	4.0000564902
5	1.4997040047	5.0006143416
6	2.2494898615	6.0000175229
7	2.749594682	7.0004220526
8	8.000077122	3.749409061
9	4.3745344665	9.0002294542
10	10.625594127	5.0004658678
11	11.000163826	6.3744787741
12	12.000030211	7.7496314081
13	8.6251533815	13.000001647
14	14.000221416	9.7500706545
15	15.000717479	11.250069578
16	17.874983439	15.000022847
17	13.000071192	19.75029159
18	15.625447805	18.000193073
19	16.625759882	19.375141322
20	20.000398916	18.750081851
21	21.124713571	20.375159608
22	22.250187748	22.3752687
23	25.749584116	21.875952477
24	26.750529967	24.001239135
25	28.500728287	25.001091797
26	28.000325887	28.500142272
27	31.500103045	28.500118199
28	31.875541184	31.249911627
29	35.750758642	30.626961182
30	37.500748458	32.876097394
31	40.750617947	33.250038683
32	41.000023768	36.250513272
33	38.876115015	41.999589732
34	47.000470159	37.625341912
35	39.250004148	48.750413176
36	39.250825126	53.499953632
37	49.12528317	50.99990879
38	45.00033091	55.750258848
39	47.125635483	57.250375527
40	48.125515652	60.000594754
41	58.500234644	53.374974172
42	65.750359979	51.000554539
43	56.875858077	63.000532072
44	64.000159748	60.125353837
45	71.00138654	57.375963164
46	72.250038444	60.250013484
47	71.000952022	65.126962184
48	61.500318641	79.749922665
49	69.000509993	76.250600288
50	86.000153582	65.875321048
51	71.252841905	82.250144325
52	73.250503304	85.000949641
53	84.00037162	79.500115185
54	87.000486482	80.000644752
55	94.374885041	78.127774383
56	84.749831879	93.500808363
57	87.12582255	96.625703317
58	99.125307396	88.62728896
59	110.00008202	83.126329871
60	105.00008951	91.250051677
61	97.750500169	103.99987343
62	98.625694148	107.0008801
63	107.7501321	103.75060179
64	118.37600393	98.752146393
65	108.62600289	112.24998217
66	106.50324753	119.00091269
67	128.50059146	105.25032907
68	115.74989225	121.62548769
69	118.37482057	122.00015317
70	124.25037247	121.75241162
71	120.87539083	131.00201168
72	134.99996902	121.62544558
73	135.75025237	129.00062085
74	143.37508613	125.25101136
75	131.75050082	142.37593621
76	142.00013313	134.75313454
77	147.00073011	137.12824901
78	154.99984094	136.37585685
79	152.99983289	143.87495315
80	154.62499608	163.62514344
81	153.49967507	162.87484395
82	155.62541106	160.75040617
83	159.12535656	159.87587322
84	163.87516956	159.00032206
85	162.49967673	171.00008777
86	170.25008552	165.50194828
87	179.50019935	165.24967741
88	168.87528536	182.25042018
89	171.62527709	181.6280128
90	175.00026327	183.37693607
91	182.00234439	186.00020371
92	177.37633153	193.25012422
93	179.75152214	201.37428101
94	189.00015511	197.24909431
95	193.87459092	199.24990138
96	201.00085532	196.87508843
97	204.87565662	199.87522267
98	200.87554108	211.99996061
99	209.75292325	203.75149906
100	216.62530638	208.50012311
