N	A
1	4
2	23.311714851889914
3	59.38789481432096
4	132.35744965700943
5	230.23236126963752
6	354.2070131237812
7	557.6559321258135
8	784.6649370985605
9	1088.1097540699964
10	1474.7855469483063
11	1936.580891574618
12	2477.680955785893
13	3112.446925418612
14	3808.217400235956
15	4633.051262778375
16	5593.904158559373
17	6642.136183888342
18	7814.205132774616
19	9175.398533790461
20	10623.659514627254
21	12225.127166198408
22	14022.102384498261
23	15928.834173781608
24	17991.506901208104
25	20233.705761708497
26	22698.80668633934
27	25405.25633248711
28	28235.55412081354
29	31274.27480217678
30	34449.7126919466
31	37988.61238860677
32	41620.0459707655
33	45410.06822191359
34	49581.93245809502
35	54083.83250653262
36	58562.56561544128
37	63614.720480724
38	68703.05316946117
39	74122.97572182282
40	79905.11014188075
41	86027.66658103213
42	92464.79740978674
43	98642.63213227065
44	105824.09780740175
45	113021.96093072531
46	120602.60684494983
47	128468.09526034504
48	136146.28316207352
49	144891.85808321487
50	154343.9960308584
51	163002.25586414422
52	172961.4448917633
53	183088.525635138
54	193332.0136485142
55	204069.3026781504
56	214941.9637968338
57	226874.41094198983
58	238597.99648774782
59	250930.97921019595
60	263568.38900635473
61	276874.30495210434
62	290325.6986523531
63	304448.69672949234
64	319225.1392097285
65	333820.1747971112
66	349469.8577693201
67	365574.3790244452
68	381900.5991004051
69	398543.17183718446
70	415788.4849929464
71	433506.096371776
72	451526.39622018026
73	470716.17319934856
74	490401.6891087518
75	510193.46151007625
76	530265.9369449564
77	551087.6480652461
78	572199.8685098991
79	594146.6267366152
80	616445.1475930249
81	640153.4999246679
82	663756.0534484623
83	688123.2499121584
84	712999.970895004
85	738761.6353122458
86	764375.519090608
87	791253.2424717875
88	817110.7576712137
89	845422.4098596807
90	874683.7663981081
91	903262.8625638785
92	934328.6143532321
93	963923.5022790553
94	1.0001984641932335e6
95	1.0269751416606174e6
96	1.058956705342576e6
97	1.0925577838095785e6
98	1.1267019884680326e6
99	1.1591246710995843e6
100	1.194626592169371e6
