n	Hx	Hy
1	0.5	0.5
2	1.5000277346	1.5000679014
3	2.5000938679	2.500126109
4	4.5004284944	3.000308572
5	6.0002745005	4.4998875979
6	5.5002662745	8.0000549607
7	8.9998089343	7.5004922251
8	10.500656451	9.0007690689
9	13.000938805	10.500855002
10	14.501450373	12.500739129
11	16.046504378	15.623819174
12	19.501668767	16.00096893
13	22.001605521	18.001394643
14	24.00143991	20.501138574
15	26.001740453	23.001929549
16	28.001873246	26.0023498
17	28.001250475	31.001617911
18	35.001963132	29.502262228
19	33.502527737	36.001446208
20	38.502254851	36.503296051
21	40.001577505	40.502476591
22	45.002054441	41.501954677
23	44.50346625	48.001829089
24	51.003862348	47.00298934
25	53.00284241	51.502366786
26	57.502656432	53.501060761
27	57.504278205	59.502591121
28	62.503080083	61.003895249
29	64.50251786	65.50249052
30	66.002659903	71.001589198
31	70.001654385	74.003795149
32	72.50478278	78.002720295
33	79.504170284	78.002879159
34	84.503666347	80.504435163
35	85.504264166	86.504521787
36	92.005085274	87.508362252
37	91.50390073	95.504917097
38	95.001542601	99.503730947
39	101.50421063	100.50551665
40	101.50441661	108.5042669
41	105.50581493	112.50108471
42	116.50253647	109.50465907
43	119.50391136	114.50263509
44	123.50819487	118.50163478
45	123.0084912	127.00673868
46	127.50792074	131.00044962
47	131.00242603	136.00864776
48	133.50566851	142.00430017
49	140.00730674	144.00292637
50	146.00746355	146.50733605
51	150.00463733	151.00386904
52	154.5061059	155.50279588
53	162.74903319	156.51749579
54	162.0085201	166.00634683
55	168.00420697	169.00758297
56	169.50307338	177.00301882
57	178.51797529	177.00821563
58	182.50394012	182.51628561
59	183.50533224	191.02863814
60	189.00066833	195.00642212
61	194.62319673	198.57721468
62	202.00415231	201.00488356
63	206.00923293	206.5228893
64	212.40916303	210.12496084
65	214.1420907	218.32999815
66	219.00777934	223.50766647
67	228.51657952	224.01021048
68	233.0146441	229.50917547
69	232.31349072	240.52143309
70	240.33026408	243.09577448
71	244.25412941	249.03776789
72	253.51980562	250.00767252
73	258.51343948	255.5091493
74	264.88533649	260.02765223
75	262.50508364	273.03130387
76	273.01349294	273.02593674
77	277.5014062	279.50563698
78	283.35605535	284.5302567
79	291.51994363	287.0282356
80	295.51347264	294.00908774
81	304.02613354	296.51716731
82	309.01881657	302.87882902
83	310.29026013	312.61603647
84	313.06174387	321.036536
85	317.01546341	328.52245794
86	324.10095167	332.50374459
87	334.50331108	333.54038928
88	336.0222986	343.52240739
89	344.05342051	347.0305412
90	352.04903813	350.51252489
91	362.01704302	352.51780107
92	357.01190292	369.51409209
93	371.68277175	366.6232003
94	373.00890404	377.01339817
95	384.02438429	378.00811925
96	388.51105814	385.52330688
97	396.52765471	389.53188697
98	398.43424343	400.01664936
99	403.01266472	407.52489677
100	413.600455	409.0193841
