n	Hx	Hy
1	1	0.25
2	2.0000797488	0.74979694651
3	3.0001051338	1.250024511
4	4.0000376297	2.2497765929
5	2.9996235726	5.0002570654
6	3.7506101944	6.7499438595
7	5.4998358868	7.0000270548
8	6.7499720952	8.0004682436
9	8.2503541973	9.2502306372
10	10.000558475	10.000036032
11	11.750617071	11.000622584
12	14.001423562	12.000077904
13	14.250834883	14.750994735
14	17.251008325	15.001455315
15	18.501238742	17.250825256
16	20.251694871	18.752052705
17	21.751066044	21.000406479
18	21.750553504	24.752178931
19	24.00214018	26.250719326
20	26.002429242	28.000777614
21	28.001521034	30.251126792
22	32.251751878	30.001399262
23	32.252106328	34.251412029
24	36.251936631	34.501167569
25	38.00175248	37.001833782
26	41.002038868	38.500866336
27	43.001368072	41.002805213
28	44.752042273	43.752252338
29	46.253444814	47.000594918
30	51.001249442	47.252960644
31	53.752117061	49.253234084
32	52.001100257	56.000770712
33	57.750802021	55.251955599
34	57.501946811	60.502442702
35	61.002689326	62.004034338
36	63.00388182	65.252521545
37	68.001089976	65.752132873
38	70.501650486	68.501241171
39	72.004772331	72.501188578
40	74.251571267	75.752302439
41	76.501958334	79.004082492
42	81.754836032	79.502038192
43	81.755071284	85.2504184
44	86.400383507	86.259091908
45	86.750137641	91.761247395
46	90.251973977	94.001368157
47	93.502017518	97.004869886
48	98.250181694	98.12458978
49	101.50106077	101.00667727
50	103.44670497	105.2527451
51	109.7524819	105.23839515
52	110.0120856	111.00058205
53	115.24998343	112.25170334
54	119.75218652	114.25378638
55	120.9309281	119.30105993
56	123.75638971	123.00313624
57	124.50323342	129.00184237
58	132.00044968	128.00689385
59	130.29403452	136.22978004
60	136.75103224	136.41996725
61	141.2601034	139.00278512
62	143.47984833	143.50058677
63	146.02265647	148.00076425
64	150.75177135	150.00540107
65	150.01096744	157.95294786
66	158.25637609	158.0023466
67	161.01352968	161.0052109
68	162.25893724	167.00795125
69	166.51151	170.00244336
70	170.75416296	172.91179658
71	176.75418452	174.28125096
72	181.3923872	176.76666927
73	182.00067911	183.76595195
74	186.25572953	187.01408835
75	188.50145683	192.50869251
76	195.28713092	193.2534433
77	200.77717445	195.2538309
78	199.51468394	204.25362408
79	207.43686721	204.00060384
80	207.71956024	211.50254552
81	211.51345385	215.50267772
82	216.25413551	218.50138908
83	222.69292614	220.00083679
84	223.5224978	227.27191742
85	231.51181221	227.00739912
86	233.25376846	233.49833359
87	236.25567761	238.75159402
88	239.2678945	244.01954453
89	247.10167901	244.17892283
90	246.99504212	252.76593904
91	255.75786145	252.02869005
92	260.59912251	255.51012935
93	259.25720807	265.50289026
94	265.75188796	267.33820571
95	267.36501515	274.00846881
96	279.4721449	270.4040588
97	279.51678023	279.00122646
98	289.4011543	277.61492148
99	283.27905871	292.39268197
100	288.53437059	295.76615736
