n	Lx	Ly
1	2	2
2	4.0001594976	4.0001594976
3	6.0002102676	6.0002102676
4	8.0000752594	8.0000752594
5	5.9992471452	5.9992471452
6	7.5012203888	7.5012203888
7	10.9996717736	10.9996717736
8	13.4999441904	13.4999441904
9	16.5007083946	16.5007083946
10	20.00111695	20.00111695
11	23.501234142	23.501234142
12	28.002847124	28.002847124
13	28.501669766	28.501669766
14	34.50201665	34.50201665
15	37.002477484	37.002477484
16	40.503389742	40.503389742
17	43.502132088	43.502132088
18	43.501107008	43.501107008
19	48.00428036	48.00428036
20	52.004858484	52.004858484
21	56.003042068	56.003042068
22	64.503503756	64.503503756
23	64.504212656	64.504212656
24	72.503873262	72.503873262
25	76.00350496	76.00350496
26	82.004077736	82.004077736
27	86.002736144	86.002736144
28	89.504084546	89.504084546
29	92.506889628	92.506889628
30	102.002498884	102.002498884
31	107.504234122	107.504234122
32	104.002200514	104.002200514
33	115.501604042	115.501604042
34	115.003893622	115.003893622
35	122.005378652	122.005378652
36	126.00776364	126.00776364
37	136.002179952	136.002179952
38	141.003300972	141.003300972
39	144.009544662	144.009544662
40	148.503142534	148.503142534
41	153.003916668	153.003916668
42	163.509672064	163.509672064
43	163.510142568	163.510142568
44	172.800767014	172.800767014
45	173.500275282	173.500275282
46	180.503947954	180.503947954
47	187.004035036	187.004035036
48	196.500363388	196.500363388
49	203.00212154	203.00212154
50	206.89340994	206.89340994
51	219.5049638	219.5049638
52	220.0241712	220.0241712
53	230.49996686	230.49996686
54	239.50437304	239.50437304
55	241.8618562	241.8618562
56	247.51277942	247.51277942
57	249.00646684	249.00646684
58	264.00089936	264.00089936
59	260.58806904	260.58806904
60	273.50206448	273.50206448
61	282.5202068	282.5202068
62	286.95969666	286.95969666
63	292.04531294	292.04531294
64	301.5035427	301.5035427
65	300.02193488	300.02193488
66	316.51275218	316.51275218
67	322.02705936	322.02705936
68	324.51787448	324.51787448
69	333.02302	333.02302
70	341.50832592	341.50832592
71	353.50836904	353.50836904
72	362.7847744	362.7847744
73	364.00135822	364.00135822
74	372.51145906	372.51145906
75	377.00291366	377.00291366
76	390.57426184	390.57426184
77	401.5543489	401.5543489
78	399.02936788	399.02936788
79	414.87373442	414.87373442
80	415.43912048	415.43912048
81	423.0269077	423.0269077
82	432.50827102	432.50827102
83	445.38585228	445.38585228
84	447.0449956	447.0449956
85	463.02362442	463.02362442
86	466.50753692	466.50753692
87	472.51135522	472.51135522
88	478.535789	478.535789
89	494.20335802	494.20335802
90	493.99008424	493.99008424
91	511.5157229	511.5157229
92	521.19824502	521.19824502
93	518.51441614	518.51441614
94	531.50377592	531.50377592
95	534.7300303	534.7300303
96	558.9442898	558.9442898
97	559.03356046	559.03356046
98	578.8023086	578.8023086
99	566.55811742	566.55811742
100	577.06874118	577.06874118
