n	A
1	4
2	30.254000489055
3	36.00137229467748
4	64.0040540865996
5	169.0011603767918
6	306.2583049963037
7	484.026322653884
8	506.2826281357091
9	961.0107146218653
10	1296.2065969688135
11	1764.121286324732
12	2116.0191204031935
13	2601.2854772728338
14	2916.2658363944506
15	3660.307609052677
16	4830.4489024295835
17	5329.186417350269
18	6889.551756867446
19	7396.186372118084
20	8372.727660236767
21	10712.54362985612
22	10920.231204220088
23	14161.21662795246
24	15129.904399551666
25	16641.764135627855
26	20736.343043402765
27	21904.346345641086
28	23562.828812758627
29	24965.767601936117
30	29929.11894523018
31	32943.37982105121
32	32401.503612884437
33	36482.3049038047
34	40804.80138641475
35	43477.87502822881
36	46440.777485157836
37	55460.922938581294
38	61256.59474818506
39	63002.86495384137
40	65280.79268312784
41	72092.4051823435
42	78681.89198824664
43	87616.52519950704
44	91204.72727784986
45	92724.6960699776
46	98283.06559075203
47	106929.19642245022
48	109566.92666162796
49	127450.02716246955
50	138014.49285863218
51	140251.2453778261
52	145548.6543719922
53	150936.63872992282
54	164433.32290957667
55	173474.00288632806
56	178933.03310776656
57	189226.73955159792
58	206120.1353796222
59	212062.5756418962
60	228493.68631377784
61	235719.9164817836
62	242557.6105430079
63	254521.47686475844
64	274454.8723378045
65	301401.99461314053
66	293229.66175227595
67	301406.68832563865
68	330620.76189558156
69	340477.0921336159
70	357012.27406821214
71	367245.5170492586
72	393773.2357045768
73	389379.77478482865
74	418614.65606722544
75	434942.3944328433
76	459686.56954223086
77	467172.9281962861
78	491169.5032058578
79	502692.6421310074
80	535093.4894250578
81	554287.9796046277
82	570815.2880589972
83	581408.7914152773
84	608410.5499201346
85	634419.2394979112
86	644022.0445166405
87	678163.9259297164
88	712351.6398784855
89	722512.4476236132
90	747364.597680563
91	768347.1277783881
92	809105.8444319305
93	813623.18792617
94	847328.1930867552
95	877976.229157281
96	927398.0322504577
97	935107.0373445817
98	979095.640799436
99	995214.6394578861
100	999004.0997178887
