n	Hx	Hy
1	0.5	0.5
2	1.4999211897	1.5000586657
3	2.4998968421	2.5000226355
4	3.0000846574	4.5000976153
5	6.5000210533	3.9999873769
6	8.0000306951	5.5001552627
7	7.5003566275	8.9993790732
8	10.500650987	9.0003771189
9	13.000330943	10.500530974
10	14.500261975	12.500632737
11	17.999643384	14.000603735
12	19.001179366	16.50065105
13	21.500600129	18.500798578
14	24.501174845	20.000641412
15	27.000724496	22.500476996
16	25.001024475	29.001343848
17	32.001117137	27.500099071
18	31.000099471	33.502625437
19	36.501569713	33.501005044
20	38.500737807	37.00125014
21	38.500810262	43.000938439
22	41.001021252	46.500247475
23	48.001587646	45.000616693
24	50.000193904	50.000293808
25	55.50104799	50.000436176
26	53.500733765	58.499524568
27	55.502058301	62.501829823
28	69.501165042	56.001395914
29	69.000647824	62.001183048
30	65.00031039	73.501140346
31	80.002489823	66.001563381
32	78.000010743	74.001876928
33	87.000869797	72.502211919
34	80.002353906	86.50036872
35	88.501777789	85.999654364
36	88.501299127	93.00276983
37	94.501829117	94.501699452
38	94.500555017	101.00041536
39	110.00122519	95.000731307
40	100.00106066	112.50292912
41	110.00332224	110.00047382
42	117.50281165	110.50145988
43	128.00278645	109.50223814
44	119.499675	127.00136475
45	126.00330374	126.00207348
46	135.00217426	127.0019359
47	135.00027042	134.00162024
48	146.50111556	133.0015975
49	138.00008456	150.0019209
50	143.99986541	154.00141019
51	140.00308767	166.0029036
52	152.5001598	164.00308441
53	152.00368981	171.00005866
54	167.00070225	167.00026567
55	158.50317041	184.50316151
56	173.00156206	178.50286566
57	200.0020875	163.00327308
58	185.50160592	184.50088171
59	188.50044681	191.50224517
60	197.00211482	192.00211543
61	194.50020636	205.50001704
62	201.50018836	208.00062162
63	212.00189859	206.50423755
64	215.00168914	214.00172965
65	231.5002679	210.50289605
66	231.00068129	218.50262602
67	235.00141171	225.50037531
68	229.00025118	243.00222632
69	258.50040163	224.00212628
70	249.00114352	244.00042008
71	250.50084681	252.00034223
72	262.50151612	250.50020186
73	259.50259861	263.50303106
74	273.50074359	261.49955336
75	268.49997364	278.50037159
76	279.50284461	277.00267822
77	289.50019731	279.00225886
78	297.0010234	281.00353355
79	301.00288715	288.50314028
80	291.50180274	311.00270549
81	289.0032919	323.00167916
82	305.00043335	318.99942271
83	318.00132483	316.50139181
84	318.00018375	328.00099508
85	327.50440465	331.50313883
86	319.50038942	351.5021341
87	339.00220386	342.50129096
88	349.50130073	347.50130603
89	359.5001769	346.50150711
90	362.50153685	356.50119069
91	353.00217251	379.00087005
92	372.50044858	368.9998722
93	382.99914791	371.50016317
94	390.50052179	374.99995527
95	383.00138908	397.50025312
96	406.50025658	386.00096165
97	381.50260555	425.50091709
98	405.00227814	410.50016846
99	411.00017793	419.50036214
100	430.49981085	411.99999401
