n	A
1	4
2	5.999448725508302
3	14.99684807154358
4	35.99464981981763
5	59.995540000019375
6	101.2462993564076
7	153.98292251074864
8	216.0027482252691
9	301.0249745132617
10	399.98834234650303
11	517.0392261019794
12	672.0097626181665
13	848.0293226998914
14	1052.2958366073988
15	1275.076654754733
16	1540.5277734458662
17	1842.8461482357382
18	2182.5932334944587
19	2546.350569406656
20	2979.5762850291776
21	3385.6194341285377
22	3919.617859723225
23	4480.261579398192
24	5075.00378843315
25	5700.175638715321
26	6391.185826596604
27	7138.304482512335
28	8004.273662475702
29	8772.155140453619
30	10048.499764898012
31	10706.141628201089
32	11799.021126696452
33	12878.445092052432
34	14149.12373149362
35	15369.882381875057
36	16821.50423543966
37	18088.684002118185
38	19731.419571653525
39	21038.25504086321
40	22942.6133406302
41	24647.079035939685
42	26322.177171106727
43	28444.069127923685
44	30430.955454158375
45	32489.102035378928
46	34961.15394302811
47	36865.7269170955
48	39854.96444184272
49	42013.146497105736
50	44990.322815268046
51	46756.38588809562
52	49578.37755623687
53	52606.42042432753
54	56595.60333607696
55	59472.89747397485
56	62108.405390197644
57	65625.83269575509
58	68961.85994357185
59	73384.86516167292
60	76709.81841915447
61	80540.64594720714
62	85692.01719920604
63	89247.01725833073
64	100000.04313527113
65	100163.77630292995
66	102080.22894917878
67	107493.1453803183
68	112539.49775072931
69	116281.75191237882
70	122526.89065934329
71	127985.13790843524
72	132301.07471120407
73	139481.62189950128
74	142036.91345532506
75	150724.53827844126
76	157598.98084233116
77	162571.24249529134
78	170084.70629396962
79	175696.4298441751
80	182600.07568906582
81	190960.28771494157
82	194703.96110846655
83	206310.4394590797
84	211599.76121348442
85	219704.3569728548
86	226962.19285612743
87	234640.40174000422
88	242065.40553952625
89	252840.88431233139
90	259415.3887822055
91	271135.890942487
92	281963.6763051258
93	288391.89901773626
94	295028.7295723611
95	305731.46395842684
96	318364.1424914242
97	329595.7152677828
98	337835.24634938495
99	345158.79195106856
100	355001.696141458
