n	Hx	Hy
1	1	1
2	2.7500090327	1.5000162824
3	3.7497914149	3.0000194838
4	5.9997423999	4.0000628414
5	6.4998472554	6.7501294998
6	8.7499116943	8.2502619864
7	11.000011385	9.7502170035
8	13.999808185	11.250341728
9	14.250462754	15.500146004
10	18.000009439	16.500779384
11	21.000633457	18.500132412
12	21.500075212	23.250287313
13	26.250436777	24.000424639
14	28.500438598	27.500267819
15	30.00039387	31.750681604
16	32.499987415	35.499841861
17	37.75053317	36.250897755
18	41.000132329	39.500369253
19	45.501078833	41.750240231
20	47.500043718	46.500235403
21	51.000454073	49.75057412
22	57.251039848	51.000211376
23	55.250347293	59.750521786
24	61.000499997	61.500195387
25	66.000416062	64.001167916
26	69.750008285	68.251028219
27	74.50041094	71.250255693
28	80.000329215	73.750049201
29	80.99983108	81.000541212
30	84.000940288	86.25014231
31	91.00048205	87.999762531
32	93.250229548	94.001678541
33	96.500306595	99.250586622
34	101.5005997	103.50036428
35	113.50107479	100.50072778
36	110.7511505	112.00010894
37	111.75185116	120.25101453
38	117.75156871	123.75219401
39	121.0009405	129.50076185
40	121.74969452	139.00049514
41	133.00108937	137.25023795
42	136.25003392	143.74976911
43	140.50051031	149.00223225
44	151.00042073	148.75022788
45	162.75023783	154.25036877
46	154.75018661	165.75000267
47	166.24969312	164.25102004
48	176.00063732	165.0003629
49	180.50124311	170.7504299
50	176.00098841	186.25016974
51	195.49966437	178.25030486
52	185.50003556	197.75066621
53	201.2496212	193.50006815
54	202.75053294	204.00083429
55	205.4999831	212.50024575
56	210.2507027	218.75015884
57	224.49966873	216.00184861
58	224.74960747	227.0001955
59	226.250314	236.99974284
60	236.00031673	240.25069896
61	237.50028312	249.74987527
62	253.0015242	246.00108632
63	251.00091985	259.0004969
64	269.24980457	254.75009929
65	273.25035195	262.00093015
66	274.00088207	274.50069185
67	287.49960601	272.49985236
68	291.75015585	281.50061237
69	285.75072576	300.75012951
70	300.74973587	297.50041459
71	302.50021506	307.00101812
72	312.00001868	311.74967838
73	323.99964169	312.75092258
74	326.50019309	324.00005769
75	328.50225884	333.49969908
76	346.74971519	330.0012054
77	338.25018331	351.250004
78	339.7499426	364.25031965
79	360.24984315	356.75052546
80	359.25093953	371.74991724
81	380.00121044	364.75006755
82	386.50035916	370.7511713
83	377.99974328	394.25096722
84	398.00051067	386.50187957
85	409.50088917	391.50027434
86	404.5000159	409.75069323
87	420.74981999	408.25117145
88	425.75057156	417.50094525
89	443.25186955	411.50131069
90	442.00030535	430.75014487
91	451.00097103	436.00075761
92	447.75031774	452.00042908
93	452.2504898	462.49985598
94	466.75201995	463.00054671
95	471.75110602	471.25030841
96	496.75041677	463.75015537
97	496.25081682	479.50122375
98	486.75150466	513.99989845
99	495.75030199	509.749809
100	513.00041349	508.75049542
