N	R
5	2.4142343056
6	2.4143029017
7	2.5913630531
8	2.645443477
9	2.7321856989
10	2.8326306012
11	2.9022987781
12	2.9023125405
13	3.0000652981
14	3.0913642456
15	3.1418951751
16	3.2161527822
17	3.2716002592
18	3.3193303018
19	3.3863607326
20	3.4739603481
21	3.4867472979
22	3.580273767
23	3.6279626798
24	3.6861150763
25	3.6879725628
26	3.7480281593
27	3.8140294762
28	3.8423294901
29	3.8777430873
30	3.9171362257
31	3.9514337914
32	3.9881236369
33	4.0205927895
34	4.0484927105
35	4.0853264003
36	4.1137845661
37	4.156809412
38	4.1585399548
39	4.2246814454
40	4.2561896753
41	4.2973096557
42	4.3090067909
43	4.3539408135
44	4.3837764014
45	4.4120323491
46	4.4422180882
47	4.4751620962
48	4.4985313236
49	4.5204836612
50	4.5516005848
51	4.576976143
52	4.6113359231
53	4.6247473164
54	4.6545471487
55	4.6878274959
56	4.7220314438
57	4.7362360114
58	4.7554717765
59	4.7690358891
60	4.787658834
61	4.7881067953
62	4.8384880165
63	4.8569948709
64	4.9008145
65	4.9257221985
66	4.949375462
67	4.9712879037
68	5.0028755296
69	5.0198926973
70	5.0346638096
71	5.0721394841
72	5.0977389963
73	5.1134488138
74	5.126157
75	5.15738206
76	5.1849896591
77	5.2034992241
78	5.2249194425
79	5.2507681242
80	5.2735939315
81	5.2941300556
82	5.3129224758
83	5.3334007251
84	5.3509692982
85	5.371920676
86	5.3899160417
87	5.4089799891
88	5.4291888591
89	5.4488268157
90	5.4688544535
91	5.4885392079
92	5.5046624845
93	5.5203334745
94	5.5331199888
95	5.5576796683
96	5.5715545347
97	5.5887463708
98	5.6051076666
99	5.6246834479
100	5.6385908683
