N	R
1	1
2	3
3	5
4	7
5	9
6	11.057016937
7	13.155127454
8	15.272775731
9	17.401169519
10	19.5361339716365
11	21.683553415
12	23.852851628
13	26.229670658
14	28.678884478
15	31.14651181
16	33.658839872
17	36.203194761
18	38.847573441
19	41.547839023
20	44.2556606125528
21	47.034940521
22	49.868821504
23	52.744020498
24	55.579498241
25	58.468248598
26	61.390150239
27	64.417341944
28	67.433327418
29	70.386773655
30	73.3703750176323
31	76.485319362
32	79.693526969
33	82.834582974
34	85.974242346
35	89.183927792
36	92.319165273
37	95.463247123
38	98.918128438
39	102.15985088
40	105.393903622044
41	108.88825711
42	112.08568012
43	115.56089235
44	119.01279426
45	122.67810168
46	126.31400137
47	129.72335087
48	133.32038128
49	137.01132503
50	140.5841
51	144.3446432
52	148.19205845
53	151.84493653
54	155.55792462
55	159.17926103
56	162.8640381
57	166.74483651
58	170.38533972
59	174.18258173
60	177.96338681
61	181.89145307
62	185.71821926
63	189.40544062
64	193.34060133
65	197.06000277
66	201.11856753
67	204.68005371
68	208.88919035
69	213.1698478
70	216.97105606
71	220.89933689
72	224.96771325
73	228.84015286
74	232.85267575
75	237.13418766
76	241.40206563
77	245.08350986
78	249.65312763
79	253.56012793
80	257.70664122
81	262.01058995
82	266.27309986
83	270.56298027
84	274.75491693
85	278.93879009
86	283.19641743
87	287.62110339
88	291.94428762
89	296.03882148
90	300.23092824
91	304.61931621
92	309.02000346
93	313.29615939
94	317.49872162
95	322.2037198
96	326.32610193
97	330.83121974
98	335.40525827
99	339.72581679
100	343.77364529601
