n	L
1	2
2	3.414213562373095
3	3.9318543852
4	4
5	4.828494514
6	5.3283077734
7	5.7320856022
8	5.8638629538
9	6
10	6.7476919834
11	7.0226849254
12	7.1452087572
13	7.463305073
14	7.732420562
15	7.864064142
16	8
17	8.53300516
18	8.6568593616
19	8.90788786
20	8.9785767918
21	9.358479574
22	9.464341694
23	9.7280021058
24	9.864368138
25	10
26	10.3782421674
27	10.4807189428
28	10.6761662448
29	10.8158553768
30	10.909374012
31	11.1941123782
32	11.386879702
33	11.4647406216
34	11.7283792746
35	11.8644847536
36	12
37	12.1927338064
38	12.239266256
39	12.2910417002
40	12.629401115
41	12.7495920146
42	12.8543855674
43	13.1006956928
44	13.1969406174
45	13.3830629176
46	13.4651680316
47	13.6790398714
48	13.8090875802
49	13.9556666938
50	14.016540288
51	14.077362177
52	14.0946482506
53	14.2970773916
54	14.5782721958
55	14.7039674142
56	14.8093572504
57	14.9256160266
58	15.100030633
59	15.240807221
60	15.3839234374
61	15.466667923
62	15.5656231742
63	15.6241331964
64	15.7601699566
65	15.8238791436
66	15.9088957336
67	15.9794753244
68	15.9966920562
69	16.2935531856
70	16.5360624222
71	16.6625563166
72	16.7634801242
73	16.8594059286
74	16.9272368106
75	17.0977383186
76	17.1878527774
77	17.2880444396
78	17.3329623078
79	17.3910237244
80	17.4332173726
81	17.586362575
82	17.6974374826
83	17.8188080346
84	17.9206414524
85	17.9634076272
86	17.9968647846
87	18.310197936
88	18.3917776014
89	18.5451967162
90	18.6078351184
91	18.6947293278
92	18.7584334164
93	18.8970300078
94	18.9444527864
95	19.0796503642
96	19.1325215246
97	19.1926351782
98	19.2213618236
99	19.2420830096
100	19.4586862524
