n	H
1	1
2	1.7071067811865475
3	1.9659271926
4	2
5	2.414247257
6	2.6641538867
7	2.8660428011
8	2.9319314769
9	3
9	5
10	3.3738459917
11	3.5113424627
12	3.5726043786
13	3.7316525365
14	3.866210281
15	3.932032071
16	4
17	4.26650258
18	4.3284296808
19	4.45394393
20	4.4892883959
21	4.679239787
22	4.732170847
23	4.8640010529
24	4.932184069
26	5.1891210837
27	5.2403594714
28	5.3380831224
29	5.4079276884
30	5.454687006
31	5.5970561891
32	5.693439851
33	5.7323703108
34	5.8641896373
35	5.9322423768
36	6
37	6.0963669032
38	6.119633128
39	6.1455208501
40	6.3147005575
41	6.3747960073
42	6.4271927837
43	6.5503478464
44	6.5984703087
45	6.6915314588
46	6.7325840158
47	6.8395199357
48	6.9045437901
49	6.9778333469
50	7.008270144
51	7.0386810885
52	7.0473241253
53	7.1485386958
54	7.2891360979
55	7.3519837071
56	7.4046786252
57	7.4628080133
58	7.5500153165
59	7.6204036105
60	7.6919617187
61	7.7333339615
62	7.7828115871
63	7.8120665982
64	7.8800849783
65	7.9119395718
66	7.9544478668
67	7.9897376622
68	7.9983460281
69	8.1467765928
70	8.2680312111
71	8.3312781583
72	8.3817400621
73	8.4297029643
74	8.4636184053
75	8.5488691593
76	8.5939263887
77	8.6440222198
78	8.6664811539
79	8.6955118622
80	8.7166086863
81	8.7931812875
82	8.8487187413
83	8.9094040173
84	8.9603207262
85	8.9817038136
86	8.9984323923
87	9.155098968
88	9.1958888007
89	9.2725983581
90	9.3039175592
91	9.3473646639
92	9.3792167082
93	9.4485150039
94	9.4722263932
95	9.5398251821
96	9.5662607623
97	9.5963175891
98	9.6106809118
99	9.6210415048
100	9.7293431262
