n	L
1	2
2	5.1213527972
3	8.535232482
4	11.9493810726
5	15.603590216
6	19.4227804298
7	23.81963464
8	29.106039394
9	33.754463172
10	38.581377758
11	44.50683732
12	50.182504788
13	55.99413442
14	61.852152018
15	68.52925097
16	75.012860964
17	81.50524721
18	88.40766664
19	95.756416758
20	103.11922453
21	110.79714367
22	118.4288145
23	126.340810662
24	134.07725593
25	142.537687702
26	150.97183148
27	159.441309058
28	167.825955524
29	176.87594949
30	185.719716564
31	194.801101692
32	204.2974352
33	213.6114182
34	222.92150358
35	232.70089174
36	242.25995676
37	252.41164086
38	262.437761
39	272.8678692
40	282.77617334
41	293.16729218
42	303.93251658
43	314.5910697
44	324.89180358
45	336.22254588
46	347.37313392
47	358.70504458
48	369.5413289
49	381.17447414
50	392.7153192
51	403.99684384
52	415.70124526
53	427.9127804
54	439.85410422
55	451.7955532
56	464.03364558
57	476.37296234
58	488.65902184
59	500.9980412
60	513.9131394
61	526.49702796
62	538.744674
63	552.0836945
64	565.2676033
65	577.92691012
66	591.05943784
67	604.41125722
68	617.50656934
69	631.5857516
70	644.77929362
71	658.30727376
72	672.5455966
73	685.85014756
74	700.08495324
75	713.79380216
76	727.96738054
77	742.33943086
78	756.78306956
79	771.24398706
80	786.12196774
81	800.17235642
82	815.22400738
83	829.62998866
84	844.62970542
85	859.6832438
86	874.67301416
87	889.78143018
88	904.82430976
89	919.9826571
90	935.51503072
91	950.40940216
92	966.54034102
93	981.5304781
94	997.79224376
95	1013.17387796
96	1029.63296218
97	1045.4899304
98	1061.05841924
99	1076.79434764
100	1093.31886606
