N	L/2
1	1
2	2.5606763986
3	4.267616241
4	5.9747504926
5	7.8016266488
6	9.7113902149
7	11.90983415
8	14.553019697
9	16.877231586
10	19.290742499
11	22.25341866
12	25.091252394
13	27.99706721
14	30.926480642
15	34.264625485
16	37.506430482
17	40.752623605
18	44.20383332
19	47.878208379
20	51.559945756
21	55.398874993
22	59.270937259
23	63.177741427
24	67.038627965
25	71.268843851
26	75.470309009
27	79.720654529
28	83.912977762
29	88.437974745
30	92.862671455
31	97.400550846
32	102.1487176
33	106.79249891
34	111.61934692
35	116.37578513
36	121.12997838
37	126.20582043
38	131.14683835
39	136.4339346
40	141.38808667
41	146.68147541
42	151.97475174
43	157.29553485
44	162.44590179
45	168.11127294
46	173.68656696
47	179.35252229
48	184.77066445
49	190.58723707
50	196.3576596
51	201.99842192
52	207.85062263
53	213.9563902
54	219.92705211
55	225.8977766
56	232.01682279
57	238.18648117
58	244.32951092
59	250.4990206
60	256.9565697
61	263.24851398
62	269.372337
63	276.04184725
64	282.63380165
65	288.96345506
66	295.52971892
67	302.20562861
68	308.75328467
69	315.7928758
70	322.38964681
71	329.15363688
72	336.2727983
73	342.92507378
74	350.04247662
75	356.89690108
76	363.98369027
77	371.16971543
78	378.39153478
79	385.62199353
80	393.06098387
81	400.08617821
82	407.61200369
83	414.81499433
84	422.31485271
85	429.8416219
86	437.33650708
87	444.89071509
88	452.41215488
89	459.99132855
90	467.75751536
91	475.20470108
92	483.27017051
93	490.76523905
94	498.89612188
95	506.58693898
96	514.81648109
97	522.7449652
98	530.52920962
99	538.39717382
100	546.65943303
